file	source_timestamp	lecture_interval	purpose
figures/planning-motivation.jpg	00:01:50	00:01:10--00:03:18	多步规划动机
figures/lats-intuition.jpg	00:07:50	00:06:54--00:08:02	LATS intuition
figures/lats-operations.jpg	00:08:10	00:08:02--00:08:46	LATS 六操作
figures/lats-evaluation.jpg	00:11:20	00:10:42--00:12:58	节点评价
figures/lats-backprop.jpg	00:13:00	00:12:58--00:15:42	backpropagation
figures/lats-value.jpg	00:16:00	00:15:42--00:17:26	value function
figures/lats-hotpotqa.jpg	00:18:10	00:17:26--00:18:16	HotpotQA
figures/lats-webshop.jpg	00:19:00	00:18:16--00:20:02	WebShop
figures/parallel-reasoning.jpg	00:25:50	00:24:42--00:27:18	推理并行性
figures/sprint-data.jpg	00:28:30	00:27:18--00:30:20	SPRINT synthetic data
figures/sprint-plan-execute.jpg	00:31:40	00:30:20--00:33:56	plan and parallel execute
figures/overlap-execution.jpg	00:34:00	00:33:56--00:36:06	重叠执行
figures/sprint-generalization.jpg	00:39:10	00:36:06--00:41:28	泛化结果
figures/parallel-patterns.jpg	00:41:40	00:41:28--00:45:02	难度与并行模式
figures/long-sequence-saving.jpg	00:46:40	00:45:02--00:47:06	长序列节省
figures/swirl-motivation.jpg	00:51:20	00:50:30--00:53:02	SWiRL motivation
figures/swirl-goals.jpg	00:53:50	00:53:02--00:54:34	SWiRL goals
figures/swirl-data-generation.jpg	00:58:20	00:54:34--00:58:32	离线轨迹生成
figures/swirl-step-rl.jpg	01:03:10	00:58:32--01:03:54	step-wise RL
figures/swirl-objective.jpg	01:04:10	01:03:54--01:05:16	RL objective
figures/swirl-inference.jpg	01:06:00	01:05:16--01:06:16	multi-step inference
figures/swirl-filtering.jpg	01:08:10	01:06:16--01:08:18	data filtering
figures/swirl-generalization.jpg	01:09:40	01:08:18--01:10:02	跨工具泛化
figures/swirl-data-scaling.jpg	01:10:50	01:10:02--01:11:34	数据规模
figures/process-correctness.jpg	01:11:50	01:11:34--01:12:20	process correctness
