state	source	status	title	rationale
001	recording@00:00:04	optional	Stanford Engineering bumper	administrative opening bumper
002	recording@00:00:05	optional	Progressive or repeated recording state	superseded build, repeated state, demo micro-step, or lower-information moment; the retained state preserves the independent teaching point
003	recording@00:00:06	optional	Progressive or repeated recording state	superseded build, repeated state, demo micro-step, or lower-information moment; the retained state preserves the independent teaching point
004	recording@00:00:07	optional	Progressive or repeated recording state	superseded build, repeated state, demo micro-step, or lower-information moment; the retained state preserves the independent teaching point
005	recording@00:00:08	optional	Speaker or transition frame	speaker-only, transition, or low-information frame without independent visual teaching content
006	recording@00:00:09	optional	Progressive or repeated recording state	superseded build, repeated state, demo micro-step, or lower-information moment; the retained state preserves the independent teaching point
007	recording@00:00:10	optional	Speaker or transition frame	speaker-only, transition, or low-information frame without independent visual teaching content
008	recording@00:00:11	optional	Progressive or repeated recording state	superseded build, repeated state, demo micro-step, or lower-information moment; the retained state preserves the independent teaching point
009	recording@00:00:12	optional	Progressive or repeated recording state	superseded build, repeated state, demo micro-step, or lower-information moment; the retained state preserves the independent teaching point
010	slides-images/slide-01-title-advent-agi.jpg	required	The Advent of AGI title	independent teaching state retained from the official 1080p recording
011	recording@00:00:16	optional	Progressive or repeated recording state	superseded build, repeated state, demo micro-step, or lower-information moment; the retained state preserves the independent teaching point
012	recording@00:00:17	optional	Progressive or repeated recording state	superseded build, repeated state, demo micro-step, or lower-information moment; the retained state preserves the independent teaching point
013	recording@00:00:18	optional	Speaker or transition frame	speaker-only, transition, or low-information frame without independent visual teaching content
014	recording@00:00:19	optional	Speaker or transition frame	speaker-only, transition, or low-information frame without independent visual teaching content
015	recording@00:00:20	optional	Speaker or transition frame	speaker-only, transition, or low-information frame without independent visual teaching content
016	recording@00:00:21	optional	Speaker or transition frame	speaker-only, transition, or low-information frame without independent visual teaching content
017	recording@00:00:22	optional	Speaker or transition frame	speaker-only, transition, or low-information frame without independent visual teaching content
018	recording@00:00:23	optional	Speaker or transition frame	speaker-only, transition, or low-information frame without independent visual teaching content
019	recording@00:00:24	optional	Speaker or transition frame	speaker-only, transition, or low-information frame without independent visual teaching content
020	recording@00:00:25	optional	Speaker or transition frame	speaker-only, transition, or low-information frame without independent visual teaching content
021	recording@00:00:26	optional	Speaker or transition frame	speaker-only, transition, or low-information frame without independent visual teaching content
022	recording@00:00:27	optional	Progressive or repeated recording state	superseded build, repeated state, demo micro-step, or lower-information moment; the retained state preserves the independent teaching point
023	recording@00:00:28	optional	Speaker or transition frame	speaker-only, transition, or low-information frame without independent visual teaching content
024	recording@00:00:29	optional	Speaker or transition frame	speaker-only, transition, or low-information frame without independent visual teaching content
025	recording@00:00:30	optional	Speaker or transition frame	speaker-only, transition, or low-information frame without independent visual teaching content
026	recording@00:00:31	optional	Speaker or transition frame	speaker-only, transition, or low-information frame without independent visual teaching content
027	recording@00:00:32	optional	Progressive or repeated recording state	superseded build, repeated state, demo micro-step, or lower-information moment; the retained state preserves the independent teaching point
028	recording@00:00:33	optional	Speaker or transition frame	speaker-only, transition, or low-information frame without independent visual teaching content
029	recording@00:00:34	optional	Speaker or transition frame	speaker-only, transition, or low-information frame without independent visual teaching content
030	recording@00:00:35	optional	Progressive or repeated recording state	superseded build, repeated state, demo micro-step, or lower-information moment; the retained state preserves the independent teaching point
031	recording@00:00:36	optional	Speaker or transition frame	speaker-only, transition, or low-information frame without independent visual teaching content
032	recording@00:00:37	optional	Speaker or transition frame	speaker-only, transition, or low-information frame without independent visual teaching content
033	recording@00:00:38	optional	Speaker or transition frame	speaker-only, transition, or low-information frame without independent visual teaching content
034	recording@00:00:39	optional	Progressive or repeated recording state	superseded build, repeated state, demo micro-step, or lower-information moment; the retained state preserves the independent teaching point
035	recording@00:00:40	optional	Progressive or repeated recording state	superseded build, repeated state, demo micro-step, or lower-information moment; the retained state preserves the independent teaching point
036	recording@00:00:41	optional	Speaker or transition frame	speaker-only, transition, or low-information frame without independent visual teaching content
037	recording@00:00:42	optional	Progressive or repeated recording state	superseded build, repeated state, demo micro-step, or lower-information moment; the retained state preserves the independent teaching point
038	recording@00:00:43	optional	Speaker or transition frame	speaker-only, transition, or low-information frame without independent visual teaching content
039	recording@00:00:44	optional	Speaker or transition frame	speaker-only, transition, or low-information frame without independent visual teaching content
040	recording@00:00:45	optional	Speaker or transition frame	speaker-only, transition, or low-information frame without independent visual teaching content
