state	source	status	title	rationale
001	recording@00:00:04	optional	Stanford Engineering bumper	administrative opening bumper without teaching content
002	slides-images/slide-01-title.jpg	required	From Large Language Models to Large Multi-modality Models	canonical lecture title and scope boundary
003	slides-images/slide-02-outline.jpg	required	Roadmap of the Transformer community	independent four-part teaching roadmap
004	slides-images/slide-03-language-modeling.jpg	required	Language modeling: the BERT moment	independent historical comparison of MLM, autoregression, T5, and GLM
005	slides-images/slide-04-scaling-law.jpg	required	Scaling law: the GPT-3 moment	independent compute-allocation and engineering argument
006	slides-images/slide-05-alignment-pretraining-loss.jpg	required	Alignment: the ChatGPT moment	independent task-adaptation and pretraining-loss claim
007	recording@00:13:18	optional	Technical Details for LLM	chapter divider without independent teaching content
008	slides-images/slide-06-transformer-architecture.jpg	required	Transformer architecture updates	independent decoder-only, normalization, positional, attention, GLU, and MoE digest
009	slides-images/slide-07-deepspeed.jpg	required	Training infrastructure: DeepSpeed	independent memory-accounting and ZeRO diagram
010	slides-images/slide-08-megatron.jpg	required	Training infrastructure: Megatron	independent tensor/pipeline-parallelism diagram
011	slides-images/slide-09-long-context.jpg	required	Lossless long-context training	independent context-parallel and load-balance argument
012	slides-images/slide-10-sft.jpg	required	Supervised fine-tuning	independent expert-annotation and weak-to-strong discussion
013	slides-images/slide-11-rlhf.jpg	required	RLHF and DPO	independent preference-optimization formulas and tradeoff
014	slides-images/slide-12-data-algorithm-architecture.jpg	required	What LLM pretrainers are doing	independent data-algorithm-architecture equivalence example
015	recording@00:34:20	optional	Visual Language Models at 2023	chapter divider without independent teaching content
016	slides-images/slide-13-blip2.jpg	required	BLIP-2	independent Q-Former bridge architecture
017	slides-images/slide-14-llava.jpg	required	LLaVA	independent linear-projection architecture
018	slides-images/slide-15-cogvlm-architecture.jpg	required	CogVLM vision experts	independent language-preservation architecture
019	slides-images/slide-16-cogvlm-benchmarks.jpg	required	CogVLM benchmarks and release	independent lecture-time result summary
020	slides-images/slide-17-cogagent-architecture.jpg	required	CogAgent high-resolution cross attention	independent GUI/OCR architecture
021	slides-images/slide-18-cogagent-web-demo.jpg	required	CogAgent web-navigation trace	independent screenshot-action example
022	slides-images/slide-19-vary.jpg	required	Vary vision-feature ensemble	independent OCR-oriented architecture
023	slides-images/slide-20-glm4v-architecture.jpg	required	GLM-4V mixed text-image architecture	independent stride-convolution and mixed-training design
024	slides-images/slide-21-glm4v-results.jpg	required	GLM-4V lecture-time results	independent benchmark table with evidence limits
025	recording@00:44:19	optional	Image generation and Transformer	chapter divider without independent teaching content
026	slides-images/slide-22-autoregressive-text-to-image.jpg	required	Autoregressive text-to-image	independent image-tokenizer and sequence formulation
027	slides-images/slide-23-universal-modeling.jpg	required	Universal vision-language modeling	independent task-unification construction and tradeoff
028	slides-images/slide-24-diffusion-ddpm.jpg	required	Diffusion wins for now	independent DDPM process and sampling argument
029	slides-images/slide-25-relay-diffusion.jpg	required	Relay Diffusion	independent resolution/noise-schedule decomposition
030	slides-images/slide-26-cogview3.jpg	required	CogView3	independent scale-up and distillation result
031	slides-images/slide-27-diffusion-transformer.jpg	required	Diffusion Transformer	independent DiT and adaptive-normalization diagram
032	slides-images/slide-28-stable-diffusion3-mmdit.jpg	required	Stable Diffusion 3 MM-DiT	independent text/image expert architecture
033	slides-images/slide-29-video-generation.jpg	required	Video generation: how to train a Sora-like model	independent CogVideo-to-scaling/data recipe
034	slides-images/slide-30-research-predictions.jpg	required	What should multimodal researchers do?	independent lecture-time predictions and limitations
035	slides-images/slide-31-research-advice.jpg	required	Research advice by career objective	independent data/benchmark/systems/architecture agenda
036	recording@01:19:57	optional	Thank-you and contact card	closing contact information without teaching content
037	recording@01:20:02	optional	Stanford Engineering end bumper	administrative end bumper without teaching content
