page	source	status	title	rationale
001	slides-images/slide-001.jpg	required	Aligning open language models | Nathan Lambert || Allen Institute for AI || @natolambert | Stanford CS25: Transformers United V4	teaching-bearing official slide with an independent claim, example, formula, comparison, or complete build state
002	slides-images/slide-002.jpg	optional	A heavily abbreviated history of language models (LMs)	pure history section divider
003	slides-images/slide-003.jpg	required	A heavily abbreviated history of LMs | 1948: Claude Shannon models English | Shannon 1948	teaching-bearing official slide with an independent claim, example, formula, comparison, or complete build state
004	slides-images/slide-004.jpg	optional	A heavily abbreviated history of LMs | 1948: Claude Shannon models English | 1948-2017:	empty timeline build superseded by later pages
005	slides-images/slide-005.jpg	required	A heavily abbreviated history of LMs | 1948: Claude Shannon models English | 1948-2017:	teaching-bearing official slide with an independent claim, example, formula, comparison, or complete build state
006	slides-images/slide-006.jpg	required	A heavily abbreviated history of LMs | 1948: Claude Shannon models English | 1948-2017:	teaching-bearing official slide with an independent claim, example, formula, comparison, or complete build state
007	slides-images/slide-007.jpg	required	A heavily abbreviated history of LMs | 1948: Claude Shannon models English | 1948-2017:	teaching-bearing official slide with an independent claim, example, formula, comparison, or complete build state
008	slides-images/slide-008.jpg	required	A heavily abbreviated history of LMs | 1948: Claude Shannon models English | 1948-2017:	teaching-bearing official slide with an independent claim, example, formula, comparison, or complete build state
009	slides-images/slide-009.jpg	required	A heavily abbreviated history of LMs | 1948: Claude Shannon models English | 1948-2017:	teaching-bearing official slide with an independent claim, example, formula, comparison, or complete build state
010	slides-images/slide-010.jpg	required	A heavily abbreviated history of LMs | 1948: Claude Shannon models English | 1948-2017:	teaching-bearing official slide with an independent claim, example, formula, comparison, or complete build state
011	slides-images/slide-011.jpg	required	A heavily abbreviated history of LMs | 1948: Claude Shannon models English | 1948-2017:	teaching-bearing official slide with an independent claim, example, formula, comparison, or complete build state
012	slides-images/slide-012.jpg	required	Can ChatGPT exist without RLHF? | RLHF seems to be necessary, but not sufficient	teaching-bearing official slide with an independent claim, example, formula, comparison, or complete build state
013	slides-images/slide-013.jpg	optional	RLHF is relied upon elsewhere | RLHF is a key factor in many popular models, both on and off the record, including | ChatGPT, Bard/Gemini, Claude, Llama 2, and more	progressive RLHF adoption build superseded by pages 14-15
014	slides-images/slide-014.jpg	required	RLHF is relied upon elsewhere | RLHF is a key factor in many popular models, both on and off the record, including | ChatGPT, Bard/Gemini, Claude, Llama 2, and more	teaching-bearing official slide with an independent claim, example, formula, comparison, or complete build state
015	slides-images/slide-015.jpg	required	RLHF is relied upon elsewhere | RLHF is a key factor in many popular models, both on and off the record, including | ChatGPT, Bard/Gemini, Claude, Llama 2, and more	teaching-bearing official slide with an independent claim, example, formula, comparison, or complete build state
016	slides-images/slide-016.jpg	optional	This lecture’s atlas | Follow along at hf.co/collections/natolambert Collection | QR code	QR-only atlas build superseded by page 17
