page	source	status	title	rationale
001	recording@00:00:04	optional	Stanford Engineering bumper	administrative opening bumper without independent teaching content
002	recording@00:01:35	optional	Content outline, partial build	progressive build superseded by state 003
003	slides-images/slide-01-content.jpg	required	Content: architecture, dense Transformers, SMoE, and interpreting SMoEs	complete talk map and independent teaching scope
004	recording@00:02:01	optional	Architecture divider	pure section divider
005	recording@00:02:25	optional	Mistral 7B attention title build	progressive build superseded by state 007
006	recording@00:02:53	optional	Grouped-query attention build	progressive build superseded by state 007
007	slides-images/slide-02-dense-attention.jpg	required	Mistral 7B grouped-query attention and sliding-window attention	complete dense-attention baseline
008	slides-images/slide-03-dense-layer-code.jpg	required	A single dense Transformer layer in PyTorch	independent executable architecture reference
009	slides-images/slide-04-mistral7b-performance.jpg	required	Mistral 7B benchmark performance	independent evidence for the dense baseline
010	slides-images/slide-05-moe-history.jpg	required	Mixture of Experts historical references	independent historical and literature context
011	recording@00:07:50	optional	Mixture of Experts Layer divider	blank section-transition build
012	slides-images/slide-06-moe-layer-references.jpg	required	Sparse MoE layer references	independent architecture provenance
013	slides-images/slide-07-moe-layer-diagram.jpg	required	Sparse MoE router and expert diagram	independent mechanism diagram
014	slides-images/slide-08-moe-equation-table.jpg	required	Top-k routing equations and Mixtral parameter table	independent formula and configuration evidence
015	slides-images/slide-09-mixtral-8x7b.jpg	required	Mixtral 8x7B architecture and headline properties	complete model-summary state
016	recording@00:10:28	optional	What does MoE-fying MLPs give you, title build	empty progressive build
017	recording@00:10:51	optional	What does MoE-fying MLPs give you, first claim	progressive build superseded by state 018
018	slides-images/slide-10-why-moe-mlp.jpg	required	What does MoE-fying MLPs give you	complete knowledge-versus-reasoning hypothesis
019	slides-images/slide-11-mixtral-performance-bars.jpg	required	Mixtral 8x7B benchmark bars	independent task-category comparison
020	slides-images/slide-12-mixtral-performance-plots.jpg	required	Mixtral cost-performance plots	independent active-parameter Pareto evidence
021	slides-images/slide-13-moe-attention-question.jpg	required	Research question: MoE-fying attention	independent open architecture question
022	slides-images/slide-14-myth-eight-experts.jpg	required	Myth 1: there are eight global experts	independent model-structure correction
023	slides-images/slide-15-myth-56b.jpg	required	Myth 2: there are 56B parameters	independent parameter-accounting correction
024	slides-images/slide-16-myth-cost-active.jpg	required	Myth 3: serving cost equals active parameters	independent systems-cost correction
025	slides-images/slide-17-inference-load-balance.jpg	required	Research question: inference load balancing	independent serving bottleneck
026	recording@00:17:50	optional	Compressing SMoEs, title build	progressive build superseded by state 028
027	recording@00:18:09	optional	Compressing SMoEs, intermediate build	progressive build superseded by state 028
028	slides-images/slide-18-compressing-smoe.jpg	required	Research question: compressing SMoEs	complete compression evidence state
029	recording@00:19:16	optional	Interpretation divider	pure section divider
030	slides-images/slide-19-discrete-gating.jpg	required	Discrete gating signals in SMoEs	independent interpretability motivation
031	recording@00:20:32	optional	Expert domain specialisation, setup build	progressive build superseded by state 032
032	slides-images/slide-20-domain-specialisation.jpg	required	Expert domain specialisation experiment	complete Pile-domain routing result
033	slides-images/slide-21-consecutive-tokens.jpg	required	Consecutive-token routing table	independent routing-persistence result
034	slides-images/slide-22-token-assignment.jpg	required	How tokens actually get assigned	independent token-level visualization
035	recording@00:26:22	optional	Myth 4 title build	empty progressive build
036	recording@00:26:54	optional	Myth 4 first claim	progressive build superseded by state 037
037	slides-images/slide-23-myth-domain-specialisation.jpg	required	Myth 4: experts should specialise by domain	complete utilisation and representation argument
038	recording@00:27:36	optional	Treasure hunt setup	progressive build superseded by state 040
039	recording@00:28:22	optional	Treasure hunt ablation plot	progressive build superseded by state 040
040	slides-images/slide-24-treasure-hunt.jpg	required	Treasure-hunt expert ablation and community meme	complete open-source ablation state
041	slides-images/slide-25-interpret-moe-decisions.jpg	required	Research question: interpreting MoE decisions	independent interpretability agenda
042	slides-images/slide-26-conclusion.jpg	required	Conclusion	complete lecture synthesis
043	recording@00:30:20	optional	Thank you	closing card without independent teaching content
