page	source	status	title	rationale
001	slides-images/slide-001.jpg	required	CS 25: Transformers United V5	independent teaching state
002	slides-images/slide-002.jpg	optional	Instructors	course administration or instructor biography
003	slides-images/slide-003.jpg	optional	Instructor Bio	course administration or instructor biography
004	slides-images/slide-004.jpg	optional	Instructor Bio	course administration or instructor biography
005	slides-images/slide-005.jpg	optional	Instructor Bio	course administration or instructor biography
006	slides-images/slide-006.jpg	optional	Instructor Bio	course administration or instructor biography
007	slides-images/slide-007.jpg	optional	Instructor Bio	course administration or instructor biography
008	slides-images/slide-008.jpg	optional	New Course Website	course administration or instructor biography
009	slides-images/slide-009.jpg	optional	Course Logistics	course administration or instructor biography
010	slides-images/slide-010.jpg	optional	Throughout the Quarter	course administration or instructor biography
011	slides-images/slide-011.jpg	optional	Disclaimers: Auditing & Zoom	course administration or instructor biography
012	slides-images/slide-012.jpg	required	What you’ll take away from CS25	independent teaching state
013	slides-images/slide-013.jpg	optional	Attention is All You Need?	pure section divider represented by prose transition
014	slides-images/slide-014.jpg	required	Word Embeddings	independent teaching state
015	slides-images/slide-015.jpg	required	Transformers in 2 Min	independent teaching state
016	slides-images/slide-016.jpg	required	Analogy for QKV	independent teaching state
017	slides-images/slide-017.jpg	required	Transformers in 2 Min	independent teaching state
018	slides-images/slide-018.jpg	required	Transformers in 2 Min	independent teaching state
019	slides-images/slide-019.jpg	required	Transformers in 2 Min	independent teaching state
020	slides-images/slide-020.jpg	required	The Final Transformer	independent teaching state
021	slides-images/slide-021.jpg	required	Transformers Today	independent teaching state
022	slides-images/slide-022.jpg	required	Large Language Models	independent teaching state
023	slides-images/slide-023.jpg	optional	Fueling Intelligent AI:	pure section divider represented by prose transition
024	slides-images/slide-024.jpg	required	The Impact of Data for Artificial Intelligence	independent teaching state
025	slides-images/slide-025.jpg	required	Smarter Data Strategies for LM Training	independent teaching state
026	slides-images/slide-026.jpg	required	vs.	independent teaching state
027	slides-images/slide-027.jpg	required	What Are Some Key Differences?	independent teaching state
028	slides-images/slide-028.jpg	required	Children’s stories	independent teaching state
029	slides-images/slide-029.jpg	required	Wikipedia	independent teaching state
030	slides-images/slide-030.jpg	required	Why Investigate Small Models & Small Data?	independent teaching state
031	slides-images/slide-031.jpg	required	EMNLP 2024	independent teaching state
032	slides-images/slide-032.jpg	required	Overview	independent teaching state
033	slides-images/slide-033.jpg	required	Datasets	independent teaching state
034	slides-images/slide-034.jpg	required	TinyDialogues Dataset	independent teaching state
035	slides-images/slide-035.jpg	required	TinyDialogues Dataset	independent teaching state
036	slides-images/slide-036.jpg	required	TinyDialogues Dataset Examples	independent teaching state
037	slides-images/slide-037.jpg	required	Experiments	independent teaching state
038	slides-images/slide-038.jpg	required	Evaluation Metrics	independent teaching state
039	slides-images/slide-039.jpg	required	Results (GPT-2)	independent teaching state
040	slides-images/slide-040.jpg	required	Results (GPT-2)	independent teaching state
041	slides-images/slide-041.jpg	required	Convergence Behavior (GPT-2)	independent teaching state
042	slides-images/slide-042.jpg	required	Findings & Conclusions	independent teaching state
043	slides-images/slide-043.jpg	required	Findings & Conclusions	independent teaching state
044	slides-images/slide-044.jpg	optional	Want to Learn More?	QR/contact slide without independent teaching claim
045	slides-images/slide-045.jpg	optional	Now Let’s Go BIGGER!	pure section divider represented by prose transition
