candidate	timestamp	asset	treatment
002	00:01:27	slide-01-dartmouth-1955.jpg	Dartmouth proposal, unified intelligence ambition, and machine-capacity misprediction
005	00:05:09	slide-02-sequence-models-2009.jpg	phrase-based MT pipeline versus neural probabilistic language model
008	00:07:03	slide-03-nlp-2013-verticalized.jpg	verticalized NLP research tracks before general-purpose models
009	00:09:21	slide-04-general-approaches-2016.jpg	distributed representations, seq2seq, and attention as consolidating paradigms
010	00:10:33	slide-05-variable-length-representations.jpg	sequence representation as a shared NLP problem
011	00:12:09	slide-06-lstm-expressive.jpg	LSTM counting and expressive recurrent computation
016	00:12:33	slide-07-sequential-bottleneck.jpg	sequential dependency and non-parallelizable reading/writing
021	00:14:09	slide-08-convolution-parallel-structure.jpg	convolutional sequence model as parallel alternative
022	00:14:42	slide-09-convolution-receptive-field.jpg	linear receptive-field growth and long-distance dependency cost
023	00:15:54	slide-10-encoder-decoder-attention.jpg	content-based source-target attention
025	00:17:00	slide-11-self-attention-other-modalities.jpg	non-local means and texture synthesis as attention-like motifs
028	00:17:27	slide-12-self-attention-structure.jpg	self-attention representation update
029	00:17:36	slide-13-self-attention-properties.jpg	parallelism, direct interactions, and multiplicative gating
032	00:19:42	slide-14-transformer-original-motivation.jpg	parallel reading, failed parallel writing, and ordering problem
033	00:20:33	slide-15-attention-mechanisms-table.jpg	family of pre-Transformer attention formulations
034	00:21:48	slide-16-dot-product-encoder-attention.jpg	query-key-value dot-product encoder attention
035	00:21:57	slide-17-decoder-self-attention.jpg	causal decoder self-attention
036	00:22:48	slide-18-complexity-less-flops.jpg	operation complexity and path-length comparison
037	00:22:57	slide-19-transformer-architecture.jpg	full encoder-decoder Transformer architecture
038	00:23:30	slide-20-resnet-structure.jpg	residual blocks as structural template
043	00:25:30	slide-21-attention-weighted-average.jpg	attention as one shared value transformation plus weighted averaging
044	00:27:03	slide-22-convolution-linear-transformations.jpg	convolution as offset-specific linear transformations
045	00:28:15	slide-23-multi-head-attention.jpg	multiple learned transformations and relation subspaces
046	00:28:54	slide-24-sota-machine-translation.jpg	original Transformer machine-translation results
047	00:29:45	slide-25-generalization-to-parsing.jpg	generalization from translation to constituency parsing
048	00:30:48	slide-26-interpretable-attention-patterns.jpg	qualitative long-distance and syntactic attention patterns
049	00:33:45	slide-27-evolution-position-encodings.jpg	permutation invariance and original position representations
050	00:36:45	slide-28-position-encoding-variants.jpg	relative embeddings, bias, and rotation
051	00:37:12	slide-29-music-transformer.jpg	relative attention for long-range musical structure
053	00:37:18	slide-30-music-transformer-demo.jpg	qualitative music-generation comparison page
056	00:40:27	slide-31-evolution-attention-challenges.jpg	quadratic complexity and memory-bound attention
057	00:44:48	slide-32-long-context-patterns.jpg	local, sparse, routing, and LSH attention patterns
058	00:44:54	slide-33-long-context-methods.jpg	linear, factored, and retrieval/memory approaches
063	00:49:36	slide-34-flops-memory-hierarchy.jpg	FLOPs versus memory hierarchy and bandwidth
064	00:51:06	slide-35-gqa-mqa-activation-memory.jpg	multi-head, grouped-query, and multi-query KV memory
065	00:51:27	slide-36-online-softmax-systems.jpg	online softmax and systems-level attention optimization
068	00:52:33	slide-37-advancements-other-areas.jpg	vision transformers and contrastive learning
069	00:54:15	slide-38-not-covered-topics.jpg	layer norm, feed-forward, higher-order attention, and decoding topics omitted from talk
070	00:57:15	slide-39-llms-universal-substrate.jpg	prompt-programmable LLM as a general computational substrate
071	00:59:06	slide-40-modern-transformer-datacenter.jpg	modern Transformer as distributed data-center system
072	00:59:24	slide-41-llms-using-tools.jpg	tool use and external capability interfaces
073	01:00:06	slide-42-time-to-build.jpg	product interaction and model-improvement feedback loop
074	01:00:51	slide-43-research-directions.jpg	uncertainty, inference-time learning, adaptive thinking, planning, and quantization
