state	source	status	title	rationale
001	recording@00:00:04	optional	Stanford Engineering bumper	administrative opening bumper
002	slides-images/slide-01-golden-age-curiosity.jpg	required	golden age curiosity	independent teaching state retained from the official 1080p recording
003	recording@00:02:18	optional	Speaker camera	speaker-only frame without visual teaching content
004	recording@00:02:19	optional	Progressive or repeated recording state	superseded build, repeated state, transition, or lower-information moment; the final independent teaching state is retained
005	recording@00:02:20	optional	Progressive or repeated recording state	superseded build, repeated state, transition, or lower-information moment; the final independent teaching state is retained
006	recording@00:02:21	optional	Progressive or repeated recording state	superseded build, repeated state, transition, or lower-information moment; the final independent teaching state is retained
007	recording@00:02:22	optional	Progressive or repeated recording state	superseded build, repeated state, transition, or lower-information moment; the final independent teaching state is retained
008	recording@00:02:24	optional	Progressive or repeated recording state	superseded build, repeated state, transition, or lower-information moment; the final independent teaching state is retained
009	recording@00:02:25	optional	Progressive or repeated recording state	superseded build, repeated state, transition, or lower-information moment; the final independent teaching state is retained
010	recording@00:02:26	optional	Progressive or repeated recording state	superseded build, repeated state, transition, or lower-information moment; the final independent teaching state is retained
011	recording@00:02:28	optional	Progressive or repeated recording state	superseded build, repeated state, transition, or lower-information moment; the final independent teaching state is retained
012	slides-images/slide-02-gaussian-canvas.jpg	required	gaussian canvas	independent teaching state retained from the official 1080p recording
013	recording@00:02:38	optional	Progressive or repeated recording state	superseded build, repeated state, transition, or lower-information moment; the final independent teaching state is retained
014	recording@00:02:39	optional	Progressive or repeated recording state	superseded build, repeated state, transition, or lower-information moment; the final independent teaching state is retained
015	recording@00:02:40	optional	Progressive or repeated recording state	superseded build, repeated state, transition, or lower-information moment; the final independent teaching state is retained
016	recording@00:02:41	optional	Progressive or repeated recording state	superseded build, repeated state, transition, or lower-information moment; the final independent teaching state is retained
017	recording@00:02:42	optional	Progressive or repeated recording state	superseded build, repeated state, transition, or lower-information moment; the final independent teaching state is retained
018	recording@00:02:44	optional	Progressive or repeated recording state	superseded build, repeated state, transition, or lower-information moment; the final independent teaching state is retained
019	recording@00:02:45	optional	Progressive or repeated recording state	superseded build, repeated state, transition, or lower-information moment; the final independent teaching state is retained
020	recording@00:02:46	optional	Progressive or repeated recording state	superseded build, repeated state, transition, or lower-information moment; the final independent teaching state is retained
021	recording@00:02:48	optional	Progressive or repeated recording state	superseded build, repeated state, transition, or lower-information moment; the final independent teaching state is retained
022	recording@00:02:51	optional	Progressive or repeated recording state	superseded build, repeated state, transition, or lower-information moment; the final independent teaching state is retained
023	recording@00:02:52	optional	Progressive or repeated recording state	superseded build, repeated state, transition, or lower-information moment; the final independent teaching state is retained
024	slides-images/slide-03-paper-calibration-source.jpg	required	paper calibration source	independent teaching state retained from the official 1080p recording
025	recording@00:02:59	optional	Progressive or repeated recording state	superseded build, repeated state, transition, or lower-information moment; the final independent teaching state is retained
026	recording@00:03:05	optional	Progressive or repeated recording state	superseded build, repeated state, transition, or lower-information moment; the final independent teaching state is retained
