candidate	timestamp	asset	treatment
003	00:01:18	slide-01-title-low-level-embodied.jpg	lecture title and speaker
017	00:04:06	slide-02-why-embodied-intelligence.jpg	real-world complexity and ambient intelligence motivation
018	00:05:18	slide-03-gibson-ecological-perception.jpg	Gibson ecological perception and agency framing
038	00:06:36	slide-04-simulation-digital-twin-perception.jpg	simulation, rendered observations, and perception labels
051	00:07:24	slide-05-large-realistic-scenes.jpg	large realistic scene generation and embodied interaction
063	00:08:15	slide-06-long-horizon-home-tasks.jpg	long-horizon household-task demonstration
064	00:09:12	slide-07-internet-ai-vs-embodied-ai.jpg	internet AI tasks versus embodied AI tasks
067	00:11:15	slide-08-simulation-to-foundation-models.jpg	large-scale simulation feeding foundation models for robotics
106	00:13:42	slide-09-foundation-models-robotics-gap.jpg	high-level reasoning versus low-level control
107	00:15:06	slide-10-robotics-scaling-timeline.jpg	CS25 robotics timeline from modular systems to scaling
108	00:15:36	slide-11-scaling-recipe.jpg	offline data, model scale, and positive-transfer recipe
110	00:18:33	slide-12-moravec-paradox.jpg	Moravec's paradox and embodied low-level difficulty
111	00:20:21	slide-13-challenge-lack-of-data.jpg	robot-data scarcity versus language-data scale
112	00:21:30	slide-14-challenge-llm-interface.jpg	LLMs lack a direct low-level control interface
114	00:23:27	slide-15-agenda-two-parts.jpg	model consolidation and new LLM interfaces
115	00:26:00	slide-16-model-consolidation-family.jpg	PaLM-E and RT-2 model-family consolidation
116	00:26:03	slide-17-palm-e-title.jpg	PaLM-E section title
119	00:26:12	slide-18-palm-e-architecture.jpg	multimodal sensor tokens entering PaLM-E
156	00:28:09	slide-19-palm-e-training-and-tasks.jpg	mixed embodied and vision-language training tasks
157	00:29:30	slide-20-palm-e-main-model.jpg	PaLM-E-562B architecture and transfer setup
158	00:32:27	slide-21-palm-e-multimodal-examples.jpg	generalist multimodal examples and task transfer
162	00:36:27	slide-22-palm-e-positive-transfer.jpg	positive-transfer comparison across task groups
180	00:37:57	slide-23-palm-e-real-robot-results.jpg	real-robot generalization results
186	00:39:54	slide-24-rt2-transition.jpg	RT-2 visual transition and embodied-agent framing
196	00:40:42	slide-25-vlm-world-understanding.jpg	vision-language models combine visual and semantic knowledge
211	00:45:15	slide-26-vlm-as-robot-policy.jpg	RT-1 and RT-2 policy architectures
212	00:45:57	slide-27-action-tokenization.jpg	representing continuous robot actions as discrete VLM tokens
214	00:46:54	slide-28-rt2-training-data-models.jpg	co-fine-tuning on web-scale and robot data
215	00:48:54	slide-29-rt2-inference.jpg	RT-2 inference from image and instruction to action tokens
216	00:49:30	slide-30-rt2-emergent-skills.jpg	qualitative emergent skills on unseen commands
217	00:50:24	slide-31-rt2-emergent-skills-chart.jpg	symbol understanding, reasoning, and human recognition results
218	00:51:00	slide-32-rt2-quantitative-generalization.jpg	seen and unseen evaluation categories
219	00:51:48	slide-33-rt2-ablation-results.jpg	co-fine-tuning and training-data ablations
220	00:52:03	slide-34-language-table-benchmark.jpg	Language-Table generalization benchmark
221	00:53:30	slide-35-rt2-chain-of-thought.jpg	chain-of-thought-style robotic reasoning examples
222	00:55:36	slide-36-vla-summary.jpg	vision-language-action model summary and future directions
223	00:56:33	slide-37-rtx-data-collage.jpg	cross-robot Open X-Embodiment data mixture
224	00:57:09	slide-38-rtx-positive-transfer.jpg	positive transfer across robot embodiments and datasets
225	00:57:51	slide-39-part1-summary.jpg	part-one consolidation, scaling, and transfer summary
227	00:58:30	slide-40-language-to-rewards-title.jpg	Language to Rewards paper title
229	00:58:45	slide-41-naive-language-action-interface.jpg	why direct code or action-token generation is brittle
230	00:58:51	slide-42-interface-question.jpg	best interface between language and low-level actions
231	01:00:15	slide-43-language-to-reward-pipeline.jpg	LLM reward translation plus motion controller
232	01:01:15	slide-44-reward-translator-prompt.jpg	structured motion descriptor and reward-code prompt
238	01:01:33	slide-45-mujoco-mpc-controller.jpg	interactive MuJoCo MPC controller synthesis
239	01:01:51	slide-46-language-to-rewards-skill-set.jpg	generated robot-dog and dexterous-manipulation skills
278	01:04:27	slide-47-humanoid-reward-code.jpg	prompt-to-reward-code humanoid skill execution
281	01:04:39	slide-48-manipulation-reward-code.jpg	prompt-to-reward-code drawer manipulation
282	01:05:06	slide-49-language-to-rewards-benchmark.jpg	comparison with reward-only and code-as-policy baselines
283	01:05:36	slide-50-sim-to-real-transfer.jpg	trajectory planning, simulation, and real-robot transfer
287	01:05:57	slide-51-real-robot-apple.jpg	real-robot apple manipulation result
288	01:07:12	slide-52-llm-general-pattern-machines.jpg	sequence transformation, completion, and improvement
298	01:08:51	slide-53-sequence-improvement.jpg	iterative reward and action improvement example
299	01:09:39	slide-54-final-summary.jpg	new interfaces to LLMs for low-level control
300	01:10:39	slide-55-key-takeaway.jpg	model consolidation and interface takeaways
