state	source	status	title	rationale
001	recording@00:00:04	optional	Stanford ENGINEERING	Stanford bumper, repeated title, host introduction, or speaker-only opening; metadata and teacher voice preserve the useful context
002	recording@00:00:10	optional	ransformers for Video Generation	Stanford bumper, repeated title, host introduction, or speaker-only opening; metadata and teacher voice preserve the useful context
003	recording@00:00:11	optional	ff &	Stanford bumper, repeated title, host introduction, or speaker-only opening; metadata and teacher voice preserve the useful context
004	recording@00:00:12	optional	’	Stanford bumper, repeated title, host introduction, or speaker-only opening; metadata and teacher voice preserve the useful context
005	recording@00:00:13	optional	f if”	Stanford bumper, repeated title, host introduction, or speaker-only opening; metadata and teacher voice preserve the useful context
006	recording@00:00:14	optional	ee)	Stanford bumper, repeated title, host introduction, or speaker-only opening; metadata and teacher voice preserve the useful context
007	recording@00:00:15	optional	a	Stanford bumper, repeated title, host introduction, or speaker-only opening; metadata and teacher voice preserve the useful context
008	recording@00:00:16	optional	a) f ‘ \ —.!	Stanford bumper, repeated title, host introduction, or speaker-only opening; metadata and teacher voice preserve the useful context
009	recording@00:00:17	optional	_ gl	Stanford bumper, repeated title, host introduction, or speaker-only opening; metadata and teacher voice preserve the useful context
010	recording@00:00:19	optional	F	Stanford bumper, repeated title, host introduction, or speaker-only opening; metadata and teacher voice preserve the useful context
011	recording@00:00:20	optional	an	Stanford bumper, repeated title, host introduction, or speaker-only opening; metadata and teacher voice preserve the useful context
012	recording@00:00:22	optional	ted i	Stanford bumper, repeated title, host introduction, or speaker-only opening; metadata and teacher voice preserve the useful context
013	recording@00:00:23	optional	————— 7	Stanford bumper, repeated title, host introduction, or speaker-only opening; metadata and teacher voice preserve the useful context
014	recording@00:00:24	optional	shane .	Stanford bumper, repeated title, host introduction, or speaker-only opening; metadata and teacher voice preserve the useful context
015	recording@00:00:25	optional	ry = 12 an!	Stanford bumper, repeated title, host introduction, or speaker-only opening; metadata and teacher voice preserve the useful context
016	recording@00:00:26	optional	Transition, speaker, or repeated video micro-state	Stanford bumper, repeated title, host introduction, or speaker-only opening; metadata and teacher voice preserve the useful context
017	recording@00:00:27	optional	>i	Stanford bumper, repeated title, host introduction, or speaker-only opening; metadata and teacher voice preserve the useful context
018	recording@00:00:31	optional	4 id	Stanford bumper, repeated title, host introduction, or speaker-only opening; metadata and teacher voice preserve the useful context
019	recording@00:00:32	optional	war	Stanford bumper, repeated title, host introduction, or speaker-only opening; metadata and teacher voice preserve the useful context
020	recording@00:00:35	optional	=,	Stanford bumper, repeated title, host introduction, or speaker-only opening; metadata and teacher voice preserve the useful context
