state	source	status	title	rationale
001	recording@00:00:04	optional	Stanford Engineering bumper	administrative opening bumper
002	recording@00:00:05	optional	Black transition frame	blank transition without teaching content
003	recording@00:00:06	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
004	recording@00:00:07	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
005	recording@00:00:08	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
006	recording@00:00:09	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
007	recording@00:00:10	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
008	recording@00:00:12	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
009	recording@00:00:13	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
010	recording@00:00:14	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
011	recording@00:00:15	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
012	recording@00:00:16	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
013	recording@00:00:17	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
014	recording@00:00:18	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
015	recording@00:00:19	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
016	recording@00:00:20	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
017	recording@00:00:22	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
018	recording@00:00:24	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
019	recording@00:00:33	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
020	recording@00:00:34	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
021	recording@00:00:35	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
022	recording@00:00:36	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
023	recording@00:00:41	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
024	recording@00:00:43	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
025	recording@00:00:44	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
026	recording@00:00:45	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
027	recording@00:00:48	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
028	recording@00:00:49	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
029	recording@00:00:52	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
030	recording@00:00:55	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
031	recording@00:00:56	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
032	recording@00:00:57	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
033	recording@00:00:58	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
034	recording@00:00:59	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
035	recording@00:01:00	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
036	recording@00:01:13	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
037	slides-images/slide-01-title-biology-large-language-model.jpg	required	On the Biology of a Large Language Model	independent teaching state retained from the official 1080p recording
038	recording@00:01:34	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
039	recording@00:01:35	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
040	recording@00:01:36	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
041	recording@00:01:38	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
042	recording@00:01:39	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
043	recording@00:01:41	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
044	recording@00:01:42	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
045	recording@00:01:43	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
046	recording@00:01:44	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
047	recording@00:01:45	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
048	recording@00:01:46	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
049	recording@00:01:47	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
050	recording@00:01:48	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
051	recording@00:01:49	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
052	recording@00:01:50	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
053	recording@00:01:59	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
054	recording@00:02:05	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
055	recording@00:02:07	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
056	recording@00:02:10	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
057	recording@00:02:11	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
058	recording@00:02:13	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
059	recording@00:02:14	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
060	recording@00:02:16	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
061	recording@00:02:19	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
062	recording@00:02:21	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
063	recording@00:02:22	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
064	recording@00:02:23	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
065	recording@00:02:24	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
066	recording@00:02:25	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
067	recording@00:02:26	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
068	recording@00:02:28	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
069	recording@00:02:29	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
070	recording@00:02:30	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
071	recording@00:02:31	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
072	recording@00:02:32	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
073	recording@00:02:33	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
074	recording@00:02:34	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
075	recording@00:02:35	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
076	recording@00:02:36	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
077	recording@00:02:37	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
078	recording@00:02:39	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
079	recording@00:02:40	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
080	recording@00:02:42	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
081	recording@00:02:43	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
082	recording@00:02:44	optional	Speaker introduction or repeated title state	speaker-only, administrative introduction, or title state superseded by the retained full slide
083	slides-images/slide-02-models-do-cool-things.jpg	required	Models Do Cool Things: Circassian transfer	independent teaching state retained from the official 1080p recording
084	recording@00:04:05	optional	Progressive or repeated visual state	superseded build, repeated state, or lower-information moment; the retained state preserves the independent teaching point
085	slides-images/slide-03-models-do-weird-things.jpg	required	Models Do Weird Things: leap-day contradiction	independent teaching state retained from the official 1080p recording
086	recording@00:07:01	optional	Progressive or repeated visual state	superseded build, repeated state, or lower-information moment; the retained state preserves the independent teaching point
087	slides-images/slide-04-three-core-findings.jpg	required	Three core findings about LLM computation	independent teaching state retained from the official 1080p recording
088	slides-images/slide-05-how-one-token-is-produced.jpg	required	How does a large language model produce one token?	independent teaching state retained from the official 1080p recording
089	recording@00:08:31	optional	Progressive or repeated visual state	superseded build, repeated state, or lower-information moment; the retained state preserves the independent teaching point
090	slides-images/slide-06-autoregressive-forward-passes.jpg	required	Autoregressive generation requires repeated forward passes	independent teaching state retained from the official 1080p recording
091	slides-images/slide-07-single-forward-pass-vectors.jpg	required	Input vectors, hidden layers, and output scores	independent teaching state retained from the official 1080p recording
092	slides-images/slide-08-models-grown-not-built.jpg	required	Language models are grown, not built	independent teaching state retained from the official 1080p recording
093	slides-images/slide-09-architecture-versus-grown-model.jpg	required	We build the architecture; the model grows inscrutably	independent teaching state retained from the official 1080p recording
094	recording@00:10:21	optional	Progressive or repeated visual state	superseded build, repeated state, or lower-information moment; the retained state preserves the independent teaching point
095	recording@00:10:22	optional	Progressive or repeated visual state	superseded build, repeated state, or lower-information moment; the retained state preserves the independent teaching point
096	slides-images/slide-10-what-does-neuron-do.jpg	required	What does this neuron do?	independent teaching state retained from the official 1080p recording
097	slides-images/slide-11-single-neuron-top-activations.jpg	required	Single-neuron top activations remain heterogeneous	independent teaching state retained from the official 1080p recording
098	slides-images/slide-12-golden-gate-feature.jpg	required	Combinations of neurons form interpretable features	independent teaching state retained from the official 1080p recording
