file	source_timestamp	lecture_interval	purpose
figures/measuring-ai-progress.jpg	00:03:30	00:02:54--00:04:26	why agent evaluation is hard
figures/time-horizon-definition.jpg	00:05:30	00:04:26--00:06:08	time horizon definition
figures/metr-task-suite.jpg	00:06:20	00:06:08--00:07:08	METR task suite
figures/metr-method.jpg	00:07:20	00:07:08--00:11:16	METR measurement pipeline
figures/success-vs-human-time.jpg	00:13:10	00:12:22--00:14:02	success versus human completion time
figures/fifty-percent-horizon.jpg	00:14:20	00:14:02--00:16:18	50 percent horizon trend
figures/eighty-percent-horizon.jpg	00:20:50	00:19:42--00:21:42	80 percent horizon trend
figures/horizon-comparison.jpg	00:22:20	00:21:42--00:23:18	50 and 80 percent horizons
figures/metr-failure-modes.jpg	00:23:40	00:23:18--00:26:18	METR failure modes
figures/metr-validation.jpg	00:27:10	00:26:18--00:28:06	METR validation experiments
figures/economic-value.jpg	00:28:20	00:28:06--00:28:38	shift to economic value
figures/gdpval-sectors.jpg	00:28:40	00:28:38--00:30:02	GDPval sectors and occupations
figures/gdpval-task-examples.jpg	00:30:10	00:30:02--00:34:16	GDPval task examples
figures/gdpval-construction.jpg	00:34:30	00:34:16--00:35:08	GDPval dataset construction
figures/gdpval-task-characteristics.jpg	00:35:20	00:35:08--00:36:08	GDPval task properties
figures/gdpval-improvement.jpg	00:36:20	00:36:08--00:38:18	GDPval model trend
figures/model-specific-strengths.jpg	00:38:40	00:38:18--00:39:08	model-specific strengths
figures/gdpval-failure-modes.jpg	00:39:20	00:39:08--00:40:08	GDPval failure categories
figures/failure-severity.jpg	00:40:20	00:40:08--00:41:08	failure severity distribution
figures/economic-speed-cost.jpg	00:41:20	00:41:08--00:42:02	economic cost and speed
figures/performance-variation.jpg	00:42:10	00:42:02--00:45:48	sector duration modality variation
figures/context-experiment.jpg	00:46:00	00:45:48--00:46:48	under-specified context experiment
figures/context-problem.jpg	00:47:00	00:46:48--00:47:32	real-work context gap
figures/gdpval-implications.jpg	00:47:40	00:47:32--00:49:10	GDPval implications
figures/deepscholar-bench.jpg	00:52:20	00:51:48--00:53:04	DeepScholar-Bench overview
figures/deepscholar-task.jpg	00:53:20	00:53:04--00:54:52	related-work generation task
figures/three-dimensional-eval.jpg	00:55:10	00:54:52--00:56:18	three-dimensional evaluation
figures/deepscholar-results.jpg	00:56:30	00:56:18--00:57:26	DeepScholar results
figures/deepscholar-failures.jpg	00:57:40	00:57:26--01:02:10	DeepScholar failure analysis
figures/long-horizon-implications.jpg	01:02:40	01:02:10--01:04:08	long-horizon implications
figures/benchmark-realwork-gap.jpg	01:04:30	01:04:08--01:05:42	benchmark versus real work
figures/known-unknown.jpg	01:06:20	01:05:42--01:07:18	known and unknown capabilities
figures/evaluation-takeaways.jpg	01:07:40	01:07:18--01:09:12	lecture takeaways
