page	source	status	title	rationale
001	slides-images/slide-001.jpg	optional	From Language Models to Native Multimodal Intelligence	title card represented by the note cover and source metadata
002	slides-images/slide-002.jpg	optional	Language-model applications: ChatGPT and coding	progressive build retained in the fully revealed page 005
003	slides-images/slide-003.jpg	optional	Language-model applications: agents and tools	progressive build retained in the fully revealed page 005
004	slides-images/slide-004.jpg	optional	Language-model applications: reasoning and multimodal interfaces	progressive build retained in the fully revealed page 005
005	slides-images/slide-005.jpg	required	Language-model capability stack	final complete state of the opening application build
006	slides-images/slide-006.jpg	required	Language modeling alone is not enough	independent central pivot from symbolic language to multimodal intelligence
007	slides-images/slide-007.jpg	required	Digital-world information and physical-world experience	independent problem-framing visual retained in the note
008	slides-images/slide-008.jpg	required	Native multimodal model landscape	independent examples of native multimodal systems retained in the note
009	slides-images/slide-009.jpg	optional	Mixed-modality sequence in one transformer	progressive build retained in the fully annotated page 010
010	slides-images/slide-010.jpg	required	Tokenization and global autoregression across modalities	final complete state of the native multimodal sequence diagram
011	slides-images/slide-011.jpg	required	Tokenization across text, image, video, and audio	independent representation comparison retained in the note
012	slides-images/slide-012.jpg	required	Continuous and discrete multimodal representations	independent detailed tokenization taxonomy retained in the note
013	slides-images/slide-013.jpg	required	Multimodal input with text-only training loss	independent objective and capability regime retained in the note
014	slides-images/slide-014.jpg	required	Text-output multimodal models in practice	independent deployment examples and objective boundary retained in the note
015	slides-images/slide-015.jpg	required	Omni objective over text, vision, and audio outputs	independent all-modality generation regime retained in the note
016	slides-images/slide-016.jpg	optional	Scaling recipe step 1: prompting and instruction following	progressive build retained in the complete page 019
017	slides-images/slide-017.jpg	optional	Scaling recipe step 2: multimodal planning and reasoning	progressive build retained in the complete page 019
018	slides-images/slide-018.jpg	optional	Scaling recipe step 3: data and model scaling	progressive build retained in the complete page 019
019	slides-images/slide-019.jpg	required	Four-part scaling approach to multimodality	final complete state combining prompting, reasoning, scaling, and architectural sparsity
020	slides-images/slide-020.jpg	optional	Omni research question: generating non-text modalities	progressive build retained in the complete page 021
021	slides-images/slide-021.jpg	required	Two research questions for omni models	final complete research agenda for generation and transfer
022	slides-images/slide-022.jpg	required	Chameleon early-fusion architecture	independent model overview retained in the note
023	slides-images/slide-023.jpg	required	VQ-VAE image tokenization	independent mechanism diagram retained in the note
024	slides-images/slide-024.jpg	required	Interleaved text-image generation	independent capability evidence retained in the note
025	slides-images/slide-025.jpg	required	Chameleon multi-tasking	independent task portfolio retained in the note
026	slides-images/slide-026.jpg	required	Chameleon lessons and representation limits	independent synthesis and open-problem slide retained in the note
027	slides-images/slide-027.jpg	required	Transfusion joint architecture	independent model overview retained in the note
028	slides-images/slide-028.jpg	required	Autoregressive text plus diffusion image objective	independent joint-training mechanism retained in the note
029	slides-images/slide-029.jpg	required	Transfusion mixed-modal generations	independent qualitative evidence retained in the note
030	slides-images/slide-030.jpg	required	Transfusion lessons and unresolved representation split	independent synthesis and open-problem slide retained in the note
031	slides-images/slide-031.jpg	required	Shared transformer backbone baseline	independent architectural baseline retained for comparison with modality-aware sparsity
032	slides-images/slide-032.jpg	required	Empirical modality gap across transformer layers	independent motivation for modality-aware architecture retained in the note
033	slides-images/slide-033.jpg	required	Mixture-of-Transformers deterministic modality routing	first clean architecture state introducing independent parameters and deterministic routing
034	slides-images/slide-034.jpg	optional	MoT progressive token-route build 1	intermediate reveal subsumed by pages 033 and 039
035	slides-images/slide-035.jpg	optional	MoT progressive token-route build 2	intermediate reveal subsumed by pages 033 and 039
036	slides-images/slide-036.jpg	optional	MoT progressive token-route build 3	intermediate reveal subsumed by pages 033 and 039
037	slides-images/slide-037.jpg	optional	MoT progressive token-route build 4	intermediate reveal subsumed by pages 033 and 039
038	slides-images/slide-038.jpg	optional	MoT progressive token-route build 5	intermediate reveal subsumed by pages 033 and 039
039	slides-images/slide-039.jpg	required	Complete MoT architecture and training objectives	final fully revealed modality-specific transformer state retained in the note
040	slides-images/slide-040.jpg	required	MoT experimental configurations	independent scale and resource table retained in the note
041	slides-images/slide-041.jpg	required	MoT plus Transfusion scaling results	independent quantitative result retained in the note
042	slides-images/slide-042.jpg	required	MoT plus Transfusion qualitative generations	independent qualitative result retained in the note
043	slides-images/slide-043.jpg	required	Combining modality routing with Mixture-of-Experts	independent architecture-composition diagram retained in the note
044	slides-images/slide-044.jpg	required	Mixture-of-Transformers summary	independent synthesis and engineering consequences retained in the note
045	slides-images/slide-045.jpg	required	BAGEL modality-aware architecture in the wild	independent follow-up system retained in the note
046	slides-images/slide-046.jpg	required	Pi0.7 robotic foundation model in the wild	independent embodiment follow-up retained in the note
047	slides-images/slide-047.jpg	required	Transfer between understanding and generation	independent second research question retained in the note
048	slides-images/slide-048.jpg	required	Two directions of understanding-generation transfer	independent mechanism map retained in the note
049	slides-images/slide-049.jpg	optional	Transfer asymmetry prompt	progressive build retained in the fully annotated page 051
050	slides-images/slide-050.jpg	optional	Language as compressed abstraction	progressive build retained in the fully annotated page 051
051	slides-images/slide-051.jpg	required	Why visual generation has a harder learning signal	final complete state comparing language abstraction with visual redundancy and loss geometry
052	slides-images/slide-052.jpg	required	Broader multimodal intelligence beyond digital processing	independent scope map retained in the note
053	slides-images/slide-053.jpg	optional	Interaction Models video card	deck-only appendix page skipped in the actual recording
054	slides-images/slide-054.jpg	optional	Interaction Models research-preview card	duplicate deck-only appendix page skipped in the actual recording
055	slides-images/slide-055.jpg	optional	Interaction Models summary	deck-only appendix page not presented or discussed in the actual recording
056	slides-images/slide-056.jpg	required	Conclusion and open problems	final lecture synthesis retained in the note
