order	rank	timestamp	asset	title	status	reason
1	4	00:00:54	slides-images/slide-01-title.jpg	No Language Left Behind	include	Official classroom title and lecture thesis.
2	5	00:01:24	slides-images/slide-02-written-languages.jpg	More than 3,000 written languages	include	Defines the global coverage gap.
3	6	00:02:03	slides-images/slide-03-product-coverage.jpg	Commercial translation coverage	include	Contrasts real product support with the language universe.
4	10	00:02:51	slides-images/slide-04-double-coverage-safely.jpg	What would it take to double coverage safely?	include	States the engineering objective and safety constraint.
5	11	00:04:00	slides-images/slide-05-current-progress.jpg	Current progress in translation	include	Separates high-resource progress from low-resource scarcity.
6	19	00:05:06	slides-images/slide-06-real-problem.jpg	How do we know this is a real problem?	include	Introduces the human-centered research method.
7	21	00:05:54	slides-images/slide-07-speaker-interviews.jpg	Interviews with low-resource speakers	include	Documents the interview cohort and exploratory method.
8	24	00:07:03	slides-images/slide-08-interview-findings.jpg	What the team learned	include	Captures decline concerns, excitement, and translation sufficiency.
9	26	00:07:24	slides-images/slide-09-evaluation-datasets.jpg	Evaluation datasets	include	Marks evaluation as a first-class workstream rather than an afterthought.
10	27	00:08:12	slides-images/slide-10-flores-101.jpg	FLORES-101	include	Provides the benchmark lineage used to reach FLORES-200.
11	32	00:09:57	slides-images/slide-11-flores-properties.jpg	FLORES design properties	include	Final progressive state: low-resource focus, many-to-many, diverse domains, document context.
12	33	00:11:30	slides-images/slide-12-flores-collection-pipeline.jpg	FLORES collection pipeline	include	Shows standard alignment, translation, review, and quality control.
13	34	00:12:54	slides-images/slide-13-flores-collection-challenges.jpg	FLORES collection challenges	include	Surfaces translator recruitment, standards, scripts, and local variants.
14	38	00:13:51	slides-images/slide-14-seed-data-why.jpg	Why seed data is necessary	include	Explains why mining cannot start from nothing.
15	39	00:14:18	slides-images/slide-15-nllb-seed.jpg	NLLB-Seed	include	Documents the multilingual seed resource and intended uses.
16	43	00:15:00	slides-images/slide-16-wikimatrix.jpg	WikiMatrix	include	Introduces large-scale parallel-sentence mining.
17	44	00:15:39	slides-images/slide-17-sentence-alignment.jpg	Sentence alignment	include	Shows the web-to-parallel-data transformation.
18	45	00:16:33	slides-images/slide-18-encoder-training.jpg	Encoder quality mechanisms	include	Contrasts masked language modeling and multilingual distillation.
19	48	00:18:48	slides-images/slide-19-laser3-encoder-quality.jpg	LASER3 encoder quality	include	Final comparison state across languages.
20	53	00:21:15	slides-images/slide-20-data-pipeline.jpg	Low-resource data pipeline	include	Final iterative pipeline state from LID through bilingual validation.
21	54	00:21:45	slides-images/slide-21-stopes-open-source.jpg	Stopes open-source pipeline	include	Connects the classroom pipeline to the released implementation.
22	55	00:22:36	slides-images/slide-22-very-low-resource-challenges.jpg	Very-low-resource challenges	include	Identifies monolingual scarcity, unique scripts, and domain concentration.
23	57	00:23:36	slides-images/slide-23-model-challenges.jpg	Model challenges	include	Frames augmentation, interference, and scale as coupled problems.
24	58	00:24:03	slides-images/slide-24-transformer-preliminaries.jpg	Transformer preliminaries	include	Defines the encoder-decoder translation path used by the model.
25	64	00:26:03	slides-images/slide-25-data-source-comparison.jpg	Training data source comparison	include	Final progressive table comparing alignment, noise, size, and model dependence.
26	65	00:26:33	slides-images/slide-26-public-seed-data.jpg	Public and seed data distribution	include	Visualizes the extreme per-language imbalance before mining and backtranslation.
27	69	00:27:00	slides-images/slide-27-mining-backtranslation.jpg	Mining and backtranslation distribution	include	Shows how synthetic and mined data expand the long tail.
28	70	00:27:45	slides-images/slide-28-moe-architecture.jpg	Mixture-of-Experts architecture	include	Introduces conditional capacity and the interference/overfitting tradeoff.
29	75	00:29:18	slides-images/slide-29-dropout-eom-results.jpg	Dense, MoE, dropout, and EOM	include	Final ablation state comparing regularization strategies.
30	78	00:30:21	slides-images/slide-30-curriculum-learning.jpg	Curriculum learning	include	Explains when language pairs enter training based on overfitting behavior.
31	79	00:32:06	slides-images/slide-31-flores101-comparison.jpg	FLORES-101 system comparison	include	Compares NLLB with prior multilingual systems.
32	81	00:33:09	slides-images/slide-32-flores200-results.jpg	FLORES-200 results	include	Breaks performance down by translation direction and resource level.
33	82	00:33:27	slides-images/slide-33-external-system-comparison.jpg	External system comparison	include	Calibrates NLLB against commercial translation systems.
34	85	00:33:45	slides-images/slide-34-human-evaluation.jpg	Automatic versus human evaluation	include	Separates rapid research iteration from real usability judgment.
35	86	00:34:27	slides-images/slide-35-human-evaluation-paper.jpg	Consistent human evaluation	include	Documents the cross-language-pair evaluation protocol.
36	94	00:36:03	slides-images/slide-36-human-evaluation-results.jpg	Human evaluation results	include	Final progressive chart for into-English, non-English, and out-of-English directions.
37	95	00:37:12	slides-images/slide-37-toxicity-error-severity.jpg	Not all translation errors are equal	include	Introduces safety through a concrete high-stakes mistranslation.
38	96	00:38:15	slides-images/slide-38-toxicity-lists.jpg	Toxicity lists for 200 languages	include	Shows culturally specific detection and mitigation resources.
39	100	00:41:15	slides-images/slide-39-future-directions.jpg	Future directions	include	Closes with explicit multilinguality, broader support, and easier training.

# Omitted candidate groups
# 1-3: splash screens and duplicate title builds.
# 7-9, 12-18, 20, 22-23: duplicate or incomplete progressive states.
# 25, 35-37, 40, 56, 83, 97-99: pure section dividers or blank transitions.
# 28-31, 41-42, 46-47, 49-52, 59-63, 66-68, 71-77, 80, 84, 87-93: progressive builds superseded by the final teaching state retained above.
# 101-133: thank-you, repeated open-source cards, Q&A speaker views, and ending bumpers.
