file	source_timestamp	lecture_interval	purpose
figures/thought-action-feedback.jpg	00:02:20	00:01:32--00:03:32	思考行动反馈闭环
figures/react-contribution.jpg	00:06:20	00:04:40--00:06:46	ReAct 贡献
figures/react-loop.jpg	00:07:00	00:06:46--00:07:32	ReAct loop
figures/react-setup.jpg	00:07:40	00:07:32--00:09:06	Agent setup
figures/react-example.jpg	00:10:40	00:09:06--00:17:18	ReAct 多跳问答例子
figures/knowledge-tasks.jpg	00:17:50	00:17:18--00:20:46	HotpotQA 与 FEVER
figures/webshop.jpg	00:21:00	00:20:46--00:22:10	WebShop
figures/react-strengths.jpg	00:22:20	00:22:10--00:23:22	ReAct 优缺点
figures/rlef-contributions.jpg	00:29:10	00:28:00--00:30:08	RLEF 贡献
figures/rlef-framework.jpg	00:30:30	00:30:08--00:31:08	RLEF framework
figures/hybrid-policy.jpg	00:32:20	00:31:08--00:34:28	PPO hybrid policy
figures/rlef-scaling.jpg	00:36:10	00:34:28--00:36:24	RLEF scaling
figures/rlef-generalization.jpg	00:36:30	00:36:24--00:36:54	泛化结果
figures/multiturn-feedback.jpg	00:37:00	00:36:54--00:39:22	多轮错误修复
figures/ai-feedback-scaling.jpg	00:48:10	00:46:32--00:48:42	AI feedback 扩展
figures/constitutional-pipeline.jpg	00:49:00	00:48:42--00:49:38	Constitutional pipeline
figures/constitution-example.jpg	00:50:20	00:49:38--00:50:48	原则示例
figures/constitutional-sft.jpg	00:51:00	00:50:48--00:51:24	Constitutional SFT
figures/revision-results.jpg	00:51:30	00:51:24--00:52:20	revision 结果
figures/rlaif.jpg	00:54:20	00:52:20--00:56:36	RLAIF
figures/constitutional-results.jpg	00:59:10	00:56:36--01:00:02	Constitutional AI 结果
