page	source	status	title	rationale
001	recording@00:00:02	optional	Stanford Engineering bumper	administrative opening bumper without independent teaching content
002	slides-images/slide-01-motivation.jpg	required	Motivation: transform vector comparisons into feature weights	complete statement of the alternative attention question
003	slides-images/slide-02-saffu-definition.jpg	required	Self-attentive feed-forward units (SAFFUs)	independent definition and assumptions
004	slides-images/slide-03-general-saffu-design.jpg	required	General SAFFU encoder-decoder design	independent architecture diagram used throughout the derivation
005	slides-images/slide-04-no-lottery-tickets.jpg	required	Transforming without lottery tickets	independent initialization and symmetry motivation
006	slides-images/slide-05-dimensionality-reduction.jpg	required	Dimensionality reduction is still needed	independent embedding bottleneck argument
007	slides-images/slide-06-bit-cipher.jpg	required	Bit-cipher extends one-hot encoding	independent deterministic embedding construction
008	slides-images/slide-07-softmax-cooccurrences.jpg	required	On softmax and co-occurrences	independent explicit-solution theorem and formula
009	slides-images/slide-08-nonrandom-feedforward-init.jpg	required	Non-random feed-forward initializations	independent executable warm-start procedure
010	slides-images/slide-09-single-layer-warm-starts.jpg	required	Warm-starting single layers in models	independent perplexity trajectory evidence
011	slides-images/slide-10-image-classification-warm-starts.jpg	required	Warm-starts work for image classification	independent cross-domain generality experiment
012	slides-images/slide-11-longer-contexts.jpg	required	Longer contexts are not automatically better contexts	independent context-modeling argument
013	slides-images/slide-12-multicontext-design.jpg	required	Multi-context SAFFU language-model design	independent dynamic-context architecture diagram
014	slides-images/slide-13-embedding-brittleness.jpg	required	Reducing embedding brittleness	independent radial co-occurrence and correlation proposal
015	slides-images/slide-14-caching-vector-comparisons.jpg	required	Caching vector comparisons	independent near-shallow inference mechanism
016	slides-images/slide-15-packing-contexts.jpg	required	Why go to such lengths of context?	independent packing-versus-dynamic-context argument
017	slides-images/slide-16-plm-configs.jpg	required	Precision language models: big and potato configurations	independent definition and two reference systems
018	slides-images/slide-17-saffu-size-table.jpg	required	SAFFU configurations of different sizes	independent parameter and token-budget table
019	slides-images/slide-18-medium-plm-training.jpg	required	Training dynamics for a medium PLM	independent three-stage training curve
020	slides-images/slide-19-plm-training-speed.jpg	required	How fast can PLMs train?	independent cost comparison and caveats
021	slides-images/slide-20-small-plm-capabilities.jpg	required	What can small PLMs do?	independent transfer-from-scratch research question
022	slides-images/slide-21-application-only-training.jpg	required	Training PLMs on application data only	independent edge-learning pipeline
023	slides-images/slide-22-self-supervised-voice.jpg	required	Self-supervised voice interaction	independent task decomposition
024	slides-images/slide-23-smart-data-collection.jpg	required	Smart data collection for user interaction	independent human-device loop diagram
025	slides-images/slide-24-dialogue-data.jpg	required	Switch interactions modeled as dialogue	independent data representation example
026	slides-images/slide-25-potato-configs.jpg	required	Potato and orange PLM configurations	independent edge-controller configuration table
027	slides-images/slide-26-emergent-positive-performance.jpg	required	Emergent positive prediction performance	independent small-data control result
028	slides-images/slide-27-where-next.jpg	required	Where does this go?	independent limitations and future-work agenda
029	recording@01:06:51	optional	Thanks and contact card	closing contact information without independent teaching content
