file	source_timestamp	lecture_interval	purpose
figures/generate-verify.jpg	00:01:40	00:01:18--00:02:22	多候选生成与验证
figures/repeated-sampling.jpg	00:02:30	00:02:22--00:04:06	重复采样跨任务结果
figures/inference-scaling-law.jpg	00:05:50	00:05:18--00:07:06	推理 coverage 的经验 scaling law
figures/scaling-across-models.jpg	00:08:50	00:07:07--00:09:40	不同参数规模模型的 inference scaling
figures/long-tail-theorem.jpg	00:10:00	00:09:40--00:11:42	难题成功概率长尾与平均幂律
figures/compute-allocation.jpg	00:12:00	00:11:42--00:12:38	预训练与推理计算分配
figures/verification-gap.jpg	00:18:00	00:15:32--00:18:44	真实 verifier 与 oracle coverage 差距
figures/rare-correct.jpg	00:19:00	00:18:44--00:19:44	正确候选稀有导致多数投票失败
figures/parallel-sampling.jpg	00:27:40	00:27:00--00:29:06	并行采样与独立候选
figures/reward-model-types.jpg	00:29:30	00:29:06--00:30:08	ORM 与 PRM
figures/hybrid-search.jpg	00:33:50	00:31:10--00:35:28	并行采样和串行修订混合
figures/compute-optimal-results.jpg	00:36:20	00:35:28--00:37:28	compute-optimal search 结果
figures/parallel-sequential-ratio.jpg	00:37:50	00:37:28--00:40:12	题目难度与并串行比例
figures/testtime-vs-pretraining.jpg	00:41:20	00:40:12--00:42:32	测试时 FLOPs 与预训练 FLOPs
figures/archon-framework.jpg	00:48:00	00:45:47--00:48:36	Archon 输入、优化器和输出
figures/archon-operations.jpg	00:50:50	00:48:36--00:51:20	生成、融合、critic、ranker 等操作
figures/fusion-results.jpg	00:51:30	00:51:20--00:54:58	fusion 与 ranker 的实验收益
figures/natural-language-tests.jpg	00:56:10	00:55:30--00:56:24	自然语言单元测试
figures/archon-architectures.jpg	00:58:00	00:56:24--00:59:32	多层 inference architecture 示例
figures/bayesian-search.jpg	01:01:10	00:59:32--01:01:20	贝叶斯优化搜索架构
figures/archon-results.jpg	01:02:50	01:01:20--01:03:02	Archon 最终性能
