page	source	status	title	rationale
001	slides-images/slide-001.jpg	optional	Scaling Training to Thousands of GPUs Nouamane Tazi	title card represented by the note cover and source metadata
002	slides-images/slide-002.jpg	optional	Official deck page 2	Ultra-Scale Playbook promotional/source page preserved in SOURCES.md
003	slides-images/slide-003.jpg	optional	Why does scaling matter? For real though, why? 3	pure section divider represented by the prose transition
004	slides-images/slide-004.jpg	required	Trends: train large	independent teaching state retained in the note
005	slides-images/slide-005.jpg	required	Trends: train large	independent teaching state retained in the note
006	slides-images/slide-006.jpg	required	Trends: train large 1T 15 T 1M Parameters Training Tokens Context Length	independent teaching state retained in the note
007	slides-images/slide-007.jpg	optional	How can we train this large? 1T params large! 7	rhetorical transition represented by the surrounding narrative
008	slides-images/slide-008.jpg	optional	LLM Training is troublesome for infrastructure We need to deal with: 1. Loading data (~15T tokens read from storage)	progressive infrastructure list superseded by the complete state on page 9
009	slides-images/slide-009.jpg	required	LLM Training is troublesome for infrastructure We need to deal with: 1. Loading data (~15T tokens read from storage)	independent teaching state retained in the note
010	slides-images/slide-010.jpg	required	Training: on 1 GPU Layer 0	independent teaching state retained in the note
011	slides-images/slide-011.jpg	required	Training: on 1 GPU with a bigger GBS We train on a Global Batch Size of several millions of tokens Batch 1	independent teaching state retained in the note
012	slides-images/slide-012.jpg	required	Training: on 1 GPU with a bigger GBS This assumes: - Training ﬁts in memory	independent teaching state retained in the note
013	slides-images/slide-013.jpg	required	Plan for today Demystifying 5D parallelism 1. Data Parallelism (ZeRO1/2/3)	independent teaching state retained in the note
014	slides-images/slide-014.jpg	required	Preamble Methods shared here: ● Can be applied to any accelerator (GPUs/TPUs..)	independent teaching state retained in the note
015	slides-images/slide-015.jpg	required	What we’d like to do Shard model & 1	independent teaching state retained in the note
016	slides-images/slide-016.jpg	required	What we’d like to do 2 Shard data Sequentially	independent teaching state retained in the note
017	slides-images/slide-017.jpg	optional	Let’s deep dive into scaling Scaling 101 here we go! 17	pure scaling-section divider represented by the prose transition
018	slides-images/slide-018.jpg	optional	Data Parallelism (DP) Sharding the batch dimension	pure Data Parallelism divider represented by the subsection heading
019	slides-images/slide-019.jpg	required	Intuition behind Data Parallelism Instead of passing batches sequentially and accumulating the gradient on 1GPU, Batch 1	independent teaching state retained in the note
020	slides-images/slide-020.jpg	required	Intuition behind Data Parallelism We partition data and replicate the model across our GPUs. In parallel	independent teaching state retained in the note
021	slides-images/slide-021.jpg	required	Intuition behind Data Parallelism Each GPU gets In parallel	independent teaching state retained in the note
022	slides-images/slide-022.jpg	required	Intuition behind Data Parallelism Meet our ﬁrst collective operation: AllReduce * Node = GPU	independent teaching state retained in the note
023	slides-images/slide-023.jpg	required	Intuition behind Data Parallelism Data is sharded across GPUs	independent teaching state retained in the note
024	slides-images/slide-024.jpg	required	Example code This is done via DistributedDataParallel (DDP)	independent teaching state retained in the note
025	slides-images/slide-025.jpg	required	Intuition behind Data Parallelism Data is sharded across GPUs	independent teaching state retained in the note
026	slides-images/slide-026.jpg	required	torch.profiler	independent teaching state retained in the note
027	slides-images/slide-027.jpg	optional	DP: comms/compute timelines A naive DP implementation: Layer 0	partial naive-DP timeline superseded by the complete state on page 28
028	slides-images/slide-028.jpg	required	DP: comms/compute timelines A naive DP implementation: Layer 0	independent teaching state retained in the note
029	slides-images/slide-029.jpg	required	DP: comms/compute timelines Once a bucket’s gradient is computed, we can already start communicating it. A bucket can be	independent teaching state retained in the note
030	slides-images/slide-030.jpg	required	DP: comms/compute timelines Once a bucket’s gradient is computed, we can already start communicating it Optimizer	independent teaching state retained in the note
