page	source	status	title	rationale
001	slides-images/slide-001.jpg	optional	Joint Embedding Predictive World Models	cover page; source metadata is preserved on the note cover and in the source audit
002	slides-images/slide-002.jpg	optional	Talk outline	pure agenda represented by the note's teaching structure
003	slides-images/slide-003.jpg	required	What is a world model?	independent three-component world-model definition retained in the note
004	slides-images/slide-004.jpg	required	Generative world models outside today's scope	independent scope boundary and application comparison retained in the note
005	slides-images/slide-005.jpg	required	Generative vs joint-embedding architectures	independent architecture contrast retained in the note
006	slides-images/slide-006.jpg	required	JEPA as an energy-based model	independent mechanism and energy-landscape view retained in the note
007	slides-images/slide-007.jpg	required	V-JEPA	independent anti-collapse and masked-prediction recipe retained in the note
008	slides-images/slide-008.jpg	required	V-JEPA 2 and action-conditioned post-training	independent transition from representation learning to control retained in the note
009	slides-images/slide-009.jpg	required	DINO-WM	independent frozen-feature world-model baseline retained in the note
010	slides-images/slide-010.jpg	optional	Causal-JEPA title	paper title page without an independent mechanism
011	slides-images/slide-011.jpg	optional	Causal-JEPA collaborators	credits are preserved in source audit and prose
012	slides-images/slide-012.jpg	required	Push-T, CLEVRER, and PHYRE	independent benchmark map retained in the note
013	slides-images/slide-013.jpg	required	Patch tokens versus object-level reasoning	independent representation-mismatch argument retained in the note
014	slides-images/slide-014.jpg	required	DINO-WM versus object-centric DINO-WM	independent baseline construction retained in the note
015	slides-images/slide-015.jpg	required	Slot Attention pipeline	independent object-centric representation mechanism retained in the note
016	slides-images/slide-016.jpg	required	Slot Attention algorithm	independent iterative attention update retained in the note
017	slides-images/slide-017.jpg	required	Masking one banana does not force interaction reasoning	independent pedagogical counterexample retained in the note
018	slides-images/slide-018.jpg	required	Causal versus bidirectional Transformer	independent architecture comparison retained in the note
019	slides-images/slide-019.jpg	required	Mask one object trajectory	independent first masking construction retained in the note
020	slides-images/slide-020.jpg	required	Mask multiple object slots	independent extension showing ambiguous slot identity retained in the note
021	slides-images/slide-021.jpg	required	Temporal positional encoding and missing slot identity	independent failure mode retained in the note
022	slides-images/slide-022.jpg	required	Permutation mismatch across videos	independent set-ordering problem retained in the note
023	slides-images/slide-023.jpg	required	Identity-conditioned mask token	independent solution using initial object identity retained in the note
024	slides-images/slide-024.jpg	required	Action conditioning: concatenation versus node	independent action-interface comparison retained in the note
025	slides-images/slide-025.jpg	required	Action as a separate temporal node	independent graph-style conditioning construction retained in the note
026	slides-images/slide-026.jpg	required	Full Causal-JEPA architecture	independent end-to-end training graph retained in the note
027	slides-images/slide-027.jpg	required	Reasoning, planning, and physical plausibility	independent evaluation taxonomy retained in the note
028	slides-images/slide-028.jpg	required	CLEVRER reasoning results	independent counterfactual-reasoning evidence retained in the note
029	slides-images/slide-029.jpg	required	Push-T planning token efficiency	independent planning comparison retained in the note
030	slides-images/slide-030.jpg	required	Action-conditioning and masking ablation	independent ablation retained in the note
031	slides-images/slide-031.jpg	required	PHYRE: correlation versus dynamics	independent physical-plausibility example retained in the note
032	slides-images/slide-032.jpg	required	PHYRE rollout and attention evidence	independent qualitative and attention-probing evidence retained in the note
033	slides-images/slide-033.jpg	required	Meaning of causal in C-JEPA	independent terminology boundary retained in the note
034	slides-images/slide-034.jpg	required	Influence neighborhood and assumptions	independent formal assumptions and non-assumptions retained in the note
035	slides-images/slide-035.jpg	required	Causal-JEPA design recap	independent mapping to representation, transition, and dynamics retained in the note
036	slides-images/slide-036.jpg	optional	A simple world model	second-speaker title card without an independent mechanism
037	slides-images/slide-037.jpg	required	World-model mapping and historical lineage	independent formal definition retained in the note
038	slides-images/slide-038.jpg	required	Why predict in abstract representation space	independent generative-versus-JEPA argument retained in the note
039	slides-images/slide-039.jpg	required	Representation collapse	independent failure mode retained in the note
040	slides-images/slide-040.jpg	required	Previous JEPA anti-collapse recipes	independent method taxonomy retained in the note
041	slides-images/slide-041.jpg	required	LeWorldModel design promises	independent simplification claim retained in the note
042	slides-images/slide-042.jpg	required	LeWorldModel training recipe and pseudocode	independent complete objective retained in the note
043	slides-images/slide-043.jpg	required	Sketched Isotropic Gaussian Regularizer	independent anti-collapse mechanism retained in the note
044	slides-images/slide-044.jpg	optional	Online Control	pure section divider represented by prose transition
045	slides-images/slide-045.jpg	required	Latent model-predictive control	independent planning loop retained in the note
046	slides-images/slide-046.jpg	required	Control tasks and performance	independent environment-level result panel retained in the note
047	slides-images/slide-047.jpg	required	Planning speed and success tradeoff	independent systems-performance evidence retained in the note
048	slides-images/slide-048.jpg	optional	Intuitive Physics Understanding	pure section divider represented by prose transition
049	slides-images/slide-049.jpg	required	Latent probing of physical quantities	independent representation evidence retained in the note
050	slides-images/slide-050.jpg	required	World-model violation and surprise	independent intervention-based evaluation retained in the note
051	slides-images/slide-051.jpg	required	Relative distance in latent space	independent latent-geometry analysis retained in the note
052	slides-images/slide-052.jpg	required	Open-loop latent rollout	independent long-horizon qualitative evidence retained in the note
053	slides-images/slide-053.jpg	required	Limitations and research opportunities	independent evidence boundary retained in the note
054	slides-images/slide-054.jpg	required	stable-worldmodel library	independent reproducibility and tooling contribution retained in the note
055	slides-images/slide-055.jpg	optional	Thanks	closing card without teaching content
