page	source	status	title	rationale
J001	slides-images/jason-slide-001.jpg	required	Intuitions on language models	speaker title and framing
J002	slides-images/jason-slide-002.jpg	required	Why do large language models work so well?	central research question and data-inspection method
J003	slides-images/jason-slide-003.jpg	required	Looking at data trains biological intuition	teaching-bearing research practice
J004	slides-images/jason-slide-004.jpg	required	Review of next-word prediction	formal foundation for the first talk
J005	slides-images/jason-slide-005.jpg	required	Next-word prediction is massive multi-task learning	central claim
J006	slides-images/jason-slide-006.jpg	required	Tasks learned from next-word prediction	concrete task decomposition
J007	slides-images/jason-slide-007.jpg	required	Arbitrary latent tasks in text	shows why the pretraining task is richer than benchmark labels
J008	slides-images/jason-slide-008.jpg	required	Scaling compute reliably improves loss	central scaling claim
J009	slides-images/jason-slide-009.jpg	required	Scaling laws	core empirical evidence
J010	slides-images/jason-slide-010.jpg	required	Why scaling may work	speaker intuition about memorization and complex functions
J011	slides-images/jason-slide-011.jpg	required	Smooth aggregate loss and emergent tasks	central distinction
J012	slides-images/jason-slide-012.jpg	required	Overall loss as a task mixture	formal mechanism behind the distinction
J013	slides-images/jason-slide-013.jpg	required	Hard-task loss curve	visual explanation of saturation and late improvement
J014	slides-images/jason-slide-014.jpg	required	BIG-Bench scaling shapes	empirical task taxonomy
J015	slides-images/jason-slide-015.jpg	required	Emergence in prompting	concrete behavior-level example
J016	slides-images/jason-slide-016.jpg	required	Inverse and U-shaped scaling	central fourth intuition
J017	slides-images/jason-slide-017.jpg	required	Quote-repetition failure pattern	worked example
J018	slides-images/jason-slide-018.jpg	required	Decomposing the hidden subtasks	mechanistic explanation of the U shape
J019	slides-images/jason-slide-019.jpg	required	Plot scaling curves	general research method and conclusion
J020	slides-images/jason-slide-020.jpg	optional	Thanks and feedback	closing contact card without independent teaching content
H001	slides-images/hyung-slide-001.jpg	required	Shaping the future of AI from Transformer history	speaker title and framing
H002	slides-images/hyung-slide-002.jpg	required	Study the change, not only the latest result	central research method
H003	slides-images/hyung-slide-003.jpg	required	Identify and understand dominant driving forces	three-step forecasting framework
H004	slides-images/hyung-slide-004.jpg	required	Dropping-a-pen thought experiment	teaches dominant-force simplification
H005	slides-images/hyung-slide-005.jpg	optional	Prediction difficulty build 1	progressive duplicate superseded by H006
H006	slides-images/hyung-slide-006.jpg	required	Prediction difficulty versus number of driving forces	final complete state of the plot
H007	slides-images/hyung-slide-007.jpg	required	Brain-scale compute and falling compute cost	main empirical driving-force evidence
H008	slides-images/hyung-slide-008.jpg	required	Teaching machines how we think we think	warning against over-modeling human intuition
H009	slides-images/hyung-slide-009.jpg	required	The Bitter Lesson	central historical principle
H010	slides-images/hyung-slide-010.jpg	required	More structure is less scalable	baseline tradeoff curve
H011	slides-images/hyung-slide-011.jpg	optional	Structure tradeoff build 1	progressive build superseded by H013
H012	slides-images/hyung-slide-012.jpg	optional	Structure tradeoff build 2	progressive build superseded by H013
H013	slides-images/hyung-slide-013.jpg	required	Choose structure for the current compute regime	final complete tradeoff curve
H014	slides-images/hyung-slide-014.jpg	required	Optimal inductive bias changes with scale	central lifecycle rule
H015	slides-images/hyung-slide-015.jpg	required	What is best long-term may look worse now	important implication of the Bitter Lesson
H016	slides-images/hyung-slide-016.jpg	required	Dominant-force summary	transition from research method to architecture
H017	slides-images/hyung-slide-017.jpg	required	Three Transformer architecture families	technical roadmap
H018	slides-images/hyung-slide-018.jpg	required	Raw sequence as model input	start of the sequence-model pipeline
H019	slides-images/hyung-slide-019.jpg	optional	Tokenization build	progressive state superseded by H021
H020	slides-images/hyung-slide-020.jpg	optional	Embedding build	progressive state superseded by H021
H021	slides-images/hyung-slide-021.jpg	required	Tokenization, embedding, and sequence model	final complete pipeline
H022	slides-images/hyung-slide-022.jpg	required	Encoder-decoder overview	complete annotated reference diagram
H023	slides-images/hyung-slide-023.jpg	required	Encoder bidirectional self-attention	distinct construction step
H024	slides-images/hyung-slide-024.jpg	optional	Encoder depth build	incremental duplicate without a new claim
H025	slides-images/hyung-slide-025.jpg	required	Decoder causal self-attention	distinct construction step
H026	slides-images/hyung-slide-026.jpg	optional	Decoder output build	annotation is retained in H022 and H028
H027	slides-images/hyung-slide-027.jpg	required	Cross-attention connects encoder and decoder	distinct construction step
H028	slides-images/hyung-slide-028.jpg	required	Full encoder-decoder architecture	final complete progressive state
H029	slides-images/hyung-slide-029.jpg	optional	Encoder-only build 1	progressive build superseded by H032
H030	slides-images/hyung-slide-030.jpg	optional	Encoder-only build 2	progressive build superseded by H032
H031	slides-images/hyung-slide-031.jpg	optional	Encoder-only build 3	progressive build superseded by H032
H032	slides-images/hyung-slide-032.jpg	required	Encoder-only architecture and generation limitation	final complete state with independent teaching claims
H033	slides-images/hyung-slide-033.jpg	optional	Decoder-only build 1	progressive build superseded by H037
H034	slides-images/hyung-slide-034.jpg	optional	Decoder-only build 2	progressive build superseded by H037
H035	slides-images/hyung-slide-035.jpg	optional	Decoder-only build 3	progressive build superseded by H037
H036	slides-images/hyung-slide-036.jpg	optional	Decoder-only build 4	progressive build superseded by H037
H037	slides-images/hyung-slide-037.jpg	required	Decoder-only key design features	final complete state
H038	slides-images/hyung-slide-038.jpg	optional	Architecture transformation divider	pure section divider
H039	slides-images/hyung-slide-039.jpg	optional	Empty comparison table	blank scaffold populated by later summary slides
H040	slides-images/hyung-slide-040.jpg	required	Transformation baseline	starting state for the four-step derivation
