state	source	status	title	rationale
001	recording@00:00:04	optional	Opening bumper, title repeat, or speaker introduction	administrative opening, speaker-only frame, or title state covered by the note cover
002	recording@00:00:13	optional	Opening bumper, title repeat, or speaker introduction	administrative opening, speaker-only frame, or title state covered by the note cover
003	recording@00:00:16	optional	Opening bumper, title repeat, or speaker introduction	administrative opening, speaker-only frame, or title state covered by the note cover
004	recording@00:00:17	optional	Opening bumper, title repeat, or speaker introduction	administrative opening, speaker-only frame, or title state covered by the note cover
005	recording@00:00:19	optional	Opening bumper, title repeat, or speaker introduction	administrative opening, speaker-only frame, or title state covered by the note cover
006	recording@00:00:20	optional	Opening bumper, title repeat, or speaker introduction	administrative opening, speaker-only frame, or title state covered by the note cover
007	recording@00:00:21	optional	Opening bumper, title repeat, or speaker introduction	administrative opening, speaker-only frame, or title state covered by the note cover
008	recording@00:00:22	optional	Opening bumper, title repeat, or speaker introduction	administrative opening, speaker-only frame, or title state covered by the note cover
009	recording@00:00:30	optional	Opening bumper, title repeat, or speaker introduction	administrative opening, speaker-only frame, or title state covered by the note cover
010	recording@00:00:31	optional	Opening bumper, title repeat, or speaker introduction	administrative opening, speaker-only frame, or title state covered by the note cover
011	recording@00:00:33	optional	Opening bumper, title repeat, or speaker introduction	administrative opening, speaker-only frame, or title state covered by the note cover
012	recording@00:00:35	optional	Opening bumper, title repeat, or speaker introduction	administrative opening, speaker-only frame, or title state covered by the note cover
013	recording@00:00:42	optional	Opening bumper, title repeat, or speaker introduction	administrative opening, speaker-only frame, or title state covered by the note cover
014	recording@00:00:45	optional	Opening bumper, title repeat, or speaker introduction	administrative opening, speaker-only frame, or title state covered by the note cover
015	recording@00:00:46	optional	Opening bumper, title repeat, or speaker introduction	administrative opening, speaker-only frame, or title state covered by the note cover
016	recording@00:00:48	optional	Opening bumper, title repeat, or speaker introduction	administrative opening, speaker-only frame, or title state covered by the note cover
017	recording@00:00:50	optional	Opening bumper, title repeat, or speaker introduction	administrative opening, speaker-only frame, or title state covered by the note cover
018	recording@00:00:52	optional	Opening bumper, title repeat, or speaker introduction	administrative opening, speaker-only frame, or title state covered by the note cover
019	recording@00:00:54	optional	Opening bumper, title repeat, or speaker introduction	administrative opening, speaker-only frame, or title state covered by the note cover
020	recording@00:00:55	optional	Opening bumper, title repeat, or speaker introduction	administrative opening, speaker-only frame, or title state covered by the note cover
021	recording@00:00:57	optional	Opening bumper, title repeat, or speaker introduction	administrative opening, speaker-only frame, or title state covered by the note cover
022	recording@00:00:58	optional	Opening bumper, title repeat, or speaker introduction	administrative opening, speaker-only frame, or title state covered by the note cover
023	recording@00:00:59	optional	Opening bumper, title repeat, or speaker introduction	administrative opening, speaker-only frame, or title state covered by the note cover
024	recording@00:01:00	optional	Opening bumper, title repeat, or speaker introduction	administrative opening, speaker-only frame, or title state covered by the note cover
025	recording@00:01:01	optional	Opening bumper, title repeat, or speaker introduction	administrative opening, speaker-only frame, or title state covered by the note cover
026	recording@00:01:02	optional	Opening bumper, title repeat, or speaker introduction	administrative opening, speaker-only frame, or title state covered by the note cover
027	recording@00:01:09	optional	Opening bumper, title repeat, or speaker introduction	administrative opening, speaker-only frame, or title state covered by the note cover
