page	source	status	title	rationale	video_time
001	slides-images/slide-001.jpg	optional	From Next-Token Prediction to Next-Generation Intelligence	talk title card; source metadata is preserved on the note cover	00:00:10
002	slides-images/slide-002.jpg	required	Recipe to Build SOTA LLMs: Four Key Components	independent framing of smart data, architecture, algorithms, and collaboration	00:02:05
003	slides-images/slide-003.jpg	required	Building Smart Data for LLMs	complete overview of the speaker's open data and synthesis work	00:03:00
004	slides-images/slide-004.jpg	required	Building Smart Algorithms for LLMs	independent map of the three algorithmic studies covered in the talk	00:03:30
005	slides-images/slide-005.jpg	required	Key Pretraining Strategies	fully revealed Pascal/Volta/Ampere/Hopper curriculum, front-loading, and learning-through-thinking matrix	00:06:25
006	slides-images/slide-006.jpg	required	LLMs are trained on trillions of tokens	independent source-diversity and scale setup	00:06:40
007	slides-images/slide-007.jpg	required	LLM training-data growth and the human-data frontier	independent Epoch AI scaling curve and projected data constraint	00:07:40
008	slides-images/slide-008.jpg	required	Maximize Your Data's Potential: two questions	fully revealed data-weighting and data-ordering problem statement	00:08:10
009	slides-images/slide-009.jpg	required	Create an Optimal Blend	fully revealed quality estimation, epoch estimation, and blend-construction pipeline	00:09:20
010	slides-images/slide-010.jpg	required	Two-Phase Pretraining	fully revealed diversity-first phase 1 and quality-focused phase 2 curriculum	00:10:10
011	slides-images/slide-011.jpg	required	Baselines for data blending and ordering	fully revealed natural distribution, optimal random blend, and two-phase comparison	00:11:45
012	slides-images/slide-012.jpg	required	Two-Phase Approach for Pretraining is Effective	independent Pascal-versus-Volta quantitative result	00:12:25
013	slides-images/slide-013.jpg	optional	Front-Loading Reasoning	section divider represented by the prose transition and source metadata	00:12:35
014	slides-images/slide-014.jpg	required	Today's Practice: Reasoning Added Too Late	fully revealed pretraining/SFT/RL pipeline and weak-foundation critique	00:13:35
015	slides-images/slide-015.jpg	required	Front-Loading Reasoning Pipeline	fully revealed reasoning-data injection across pretraining and post-training	00:14:45
016	slides-images/slide-016.jpg	required	Evaluation Metrics	independent base-model and post-trained benchmark split	00:15:45
017	slides-images/slide-017.jpg	required	Lesson 1: Inclusion of reasoning data in pretraining is beneficial	fully annotated reason-base versus no-reason-base pretraining result	00:16:30
018	slides-images/slide-018.jpg	required	Lesson 2: Early reasoning gains do not lead to overfitting	fully annotated post-SFT persistence result	00:17:10
019	slides-images/slide-019.jpg	required	Lesson 3: High-quality data has latent effects unlocked by SFT	fully annotated SHQ, LDQ, and LMQ result	00:18:45
020	slides-images/slide-020.jpg	required	Lesson 4: Early reasoning builds a strong foundation	fully annotated compute-matched and data-matched post-training result	00:20:50
021	slides-images/slide-021.jpg	required	Lesson 5: Front-loading reasoning creates a durable advantage	fully annotated pretraining-plus-SFT-plus-RLVR result	00:21:40
022	slides-images/slide-022.jpg	optional	RLP: Reinforcement as a Pretraining Objective	section divider represented by the prose transition and source metadata	00:21:55
023	slides-images/slide-023.jpg	required	The Tale of Two Learners	fully revealed Leo-versus-Bolt learning-by-doing motivation	00:29:15
024	slides-images/slide-024.jpg	required	The Problem with Standard Pretraining	fully revealed imitation-first pipeline and late exploration bottleneck	00:31:25
025	slides-images/slide-025.jpg	required	Vanilla Pretraining versus RLP Pretraining	fully revealed photosynthesis example and reasoning-driven prediction contrast	00:32:25
026	slides-images/slide-026.jpg	required	Overview of RLP	independent thought-policy, no-think-baseline, reward, and update loop	00:32:55
027	slides-images/slide-027.jpg	required	Prompt to Generate Thoughts	independent prompt contract used to elicit exploratory next-step reasoning	00:33:15
028	slides-images/slide-028.jpg	required	Thought Policy	fully revealed rollout policy that generates thoughts and the next token	00:33:45
029	slides-images/slide-029.jpg	required	No-Think Baseline	fully revealed context-only counterfactual predictor	00:34:00
030	slides-images/slide-030.jpg	required	Information Gain	fully revealed log-likelihood-ratio reward and prediction paths	00:34:45
031	slides-images/slide-031.jpg	required	Non-Binary Reward	fully revealed dense information-gain reward state	00:35:40
032	slides-images/slide-032.jpg	required	Exponential Moving Average	fully revealed lagged no-think baseline update	00:36:00
033	slides-images/slide-033.jpg	required	Leverage Early Reasoning with RLP: Qwen setup	fully revealed training ingredients, baselines, and post-training protocol	00:37:30
034	slides-images/slide-034.jpg	required	RLP improvement on Qwen3-1.7B-Base	fully annotated token-matched base and post-training results	00:38:25
035	slides-images/slide-035.jpg	required	RLP under compute-equivalent baselines	fully annotated FLOP-matched comparison with 35-times more CPT data	00:40:10
036	slides-images/slide-036.jpg	required	Leverage Early Reasoning with RLP: Nemotron checkpoint setup	fully revealed intermediate-checkpoint, limited-data, and final-base comparison	00:41:10
037	slides-images/slide-037.jpg	required	RLP scales with LLM size and frameworks	fully annotated Nemotron-Nano-12B-V2 base and post-training results	00:42:15
038	slides-images/slide-038.jpg	required	The Rise of Early Reasoning	independent Quiet-STaR, RPT, and RLPT literature map	00:42:55
039	slides-images/slide-039.jpg	required	Early-Reasoning Paradigm Comparison	fully revealed NTP, RPT/RLPT, and RLP comparison table	00:43:50
040	slides-images/slide-040.jpg	required	Comparison with RPT	fully annotated matched-setting quantitative and mechanism comparison	00:45:10
041	slides-images/slide-041.jpg	required	Key Ablations and Insights	independent reward-to-think, sparse-versus-dense, and token-efficiency synthesis	00:46:10
042	slides-images/slide-042.jpg	required	Teach models how to think while teaching them what to say	independent Pascal-to-Hopper capability progression	00:46:50
043	slides-images/slide-043.jpg	required	Curriculum, Reasoning and Reinforcement Redefine Pretraining	complete six-point synthesis of the talk	00:48:45
044	slides-images/slide-044.jpg	required	Recipe to Build SOTA LLMs: Four Key Components Revisited	closing integration of smart data, architecture, algorithms, and collaboration	00:49:20
