page	source	status	title	rationale
001	slides-images/slide-001.jpg	required	CS 25: Transformers United V4 Div Garg, Steven Feng, Emily Bunnapradist, Seonghee Lee/1	teaching-bearing official slide
002	slides-images/slide-002.jpg	optional	Instructors 2	administrative instructor roster; names are summarized in source metadata
003	slides-images/slide-003.jpg	optional	Instructor Bio Building an Generalist Personal AI Agent (MultiOn AI)/On a leave from CS PhD	administrative instructor biography
004	slides-images/slide-004.jpg	optional	Instructor Bio 2nd-year CS PhD student                     For fun:/Upcoming:                                    -   Piano/music	administrative instructor biography
005	slides-images/slide-005.jpg	optional	Instructor Bio Undergrad in Math + CogSci & Master’s in CS @ Stanford/Interested in the intersection of artiﬁcial intelligence and natural	administrative instructor biography
006	slides-images/slide-006.jpg	optional	Instructor Bio 1st year CS masters Student/Research Interests	administrative instructor biography
007	slides-images/slide-007.jpg	optional	Course Logistics ●   Lectures: Thursdays 4:30 - 5:50 pm PDT (Gates B01 and Zoom)/●   Enrollment: approx. 190 students max, also waitlist [Axess]	course logistics without technical teaching content
008	slides-images/slide-008.jpg	optional	What’s New This Time? ●   Large lecture hall and more enrollment/●   Professional recording and Zoom livestreaming (to the public)	course logistics and enrollment update
009	slides-images/slide-009.jpg	optional	Important Disclaimers: Recording + Livestreaming ●   We will be recording + broadcasting + publishing the speaker presentations (Zoom/YouTube)/●   You can also access these recordings by logging into the course Canvas site	recording/livestream administrative disclaimer
010	slides-images/slide-010.jpg	optional	Important Disclaimers: Auditing & Zoom ●   Zoom meeting has limit of 500 participants, trying to increase to a webinar (1000+)/○   Another reason enrolled students should come in person!	auditing/Zoom administrative disclaimer
011	slides-images/slide-011.jpg	required	What we hope you will learn ●   How transformers work/●   How they are being applied (beyond just NLP)	teaching-bearing official slide
012	slides-images/slide-012.jpg	optional	Transformers and LLMs: An Introduction 12	pure section divider; surrounding teaching pages retain the transition
013	slides-images/slide-013.jpg	required	1990s    Prehistoric Era Rule-based methods, parsing, RNNs, LSTMs/Attention Timeline	teaching-bearing official slide
014	slides-images/slide-014.jpg	required	14 Challenges and Weaknesses/Challenges of NLP:	teaching-bearing official slide
