page	source	status	title	rationale
001	slides-images/slide-001.jpg	optional	Serving Transformers title card	title and provenance are represented by the note cover
002	slides-images/slide-002.jpg	required	Why inference?	independent opening question retained as the lecture's systems pivot
003	slides-images/slide-003.jpg	required	Training cost center versus inference revenue center	independent motivation and industry-scope argument retained in the note
004	slides-images/slide-004.jpg	required	Speaker production-inference context	independent source-context slide retained to bound experience claims
005	slides-images/slide-005.jpg	optional	Lecture roadmap overview	administrative section map with no independent teaching content
006	slides-images/slide-006.jpg	optional	Applications section divider	pure section divider
007	slides-images/slide-007.jpg	required	LLM application archetypes	independent workload taxonomy retained in the note
008	slides-images/slide-008.jpg	optional	Workloads and SLOs section divider	pure section divider
009	slides-images/slide-009.jpg	required	Workloads and service-level objectives	independent stakeholder-to-engineer handoff retained in the note
010	slides-images/slide-010.jpg	required	Workload definition advisor	independent operational checklist and tool screenshot retained in the note
011	slides-images/slide-011.jpg	required	QPS TPQ prefix reuse and latency budget	independent metric glossary retained in the note
012	slides-images/slide-012.jpg	required	Application-specific figures of merit	independent mapping from archetype to objective retained in the note
013	slides-images/slide-013.jpg	required	Benchmarking one replica	independent benchmark procedure retained in the note
014	slides-images/slide-014.jpg	required	Latency-throughput frontier diagram	independent visual explanation of benchmark endpoints retained in the note
015	slides-images/slide-015.jpg	required	Token timing simulator	independent tail-latency intuition tool retained alongside the live-demo frame
016	slides-images/slide-016.jpg	optional	Models and engines section divider	pure section divider
017	slides-images/slide-017.jpg	required	Efficiency-bound versus capability-bound	independent model-selection regime retained in the note
018	slides-images/slide-018.jpg	required	Efficiency-bound model choices	independent deployment pattern and model-family discussion retained in the note
019	slides-images/slide-019.jpg	required	Capability-bound model choices	independent multi-GPU and orchestrator-workload discussion retained in the note
020	slides-images/slide-020.jpg	required	Artificial Analysis cost-capability frontier	independent market benchmark and caveat retained in the note
021	slides-images/slide-021.jpg	optional	Inference engine architecture build	progressive build retained in fully annotated page 022
022	slides-images/slide-022.jpg	required	Inference engine process architecture	final complete architecture with host and GPU responsibilities retained in the note
023	slides-images/slide-023.jpg	required	TRT-LLM vLLM and SGLang overview	independent engine landscape retained in the note
024	slides-images/slide-024.jpg	required	Inference engine tradeoffs	independent runtime culture governance and deployment comparison retained in the note
025	slides-images/slide-025.jpg	required	Learning engine internals	independent source-code study resources retained in the note
026	slides-images/slide-026.jpg	optional	Hardware section divider	pure section divider
027	slides-images/slide-027.jpg	required	Prefill and decode as two sub-workloads	independent compute-versus-memory decomposition retained in the note
028	slides-images/slide-028.jpg	required	Arithmetic-intensity roofline	independent roofline model retained in the note
029	slides-images/slide-029.jpg	required	Data-center and Tensor-Core GPUs	independent HBM interconnect and tensor-core glossary retained in the note
030	slides-images/slide-030.jpg	required	GPU Glossary and Tensara	independent practical learning and benchmarking resources retained in the note
031	slides-images/slide-031.jpg	required	CPU TPU and inference-chip alternatives	independent hardware-boundary discussion retained in the note
032	slides-images/slide-032.jpg	optional	Deployment section divider	pure section divider
033	slides-images/slide-033.jpg	required	Deployment constraints from hardware	independent scarcity network and utilization constraints retained in the note
034	slides-images/slide-034.jpg	required	GPU reliability and failure rate	independent reliability table retained with statistical caveats
035	slides-images/slide-035.jpg	required	Fleet health under bursty allocation	independent aggregate fleet-health visual retained in the note
036	slides-images/slide-036.jpg	required	Bursty inference traffic pattern	independent demand trace retained in the note
037	slides-images/slide-037.jpg	required	Fixed over-provisioned allocation	independent low-utilization baseline retained in the note
038	slides-images/slide-038.jpg	required	Slow allocation hurts utilization and QoS	independent under-provisioning failure mode retained in the note
039	slides-images/slide-039.jpg	required	Fast automatic allocation	independent target allocation behavior retained in the note
040	slides-images/slide-040.jpg	required	Serverless inference startup decomposition	independent latency stack and optimization summary retained in the note
041	slides-images/slide-041.jpg	optional	Cloud Buffer progressive build 1	intermediate reveal subsumed by final grid on page 043
042	slides-images/slide-042.jpg	optional	Cloud Buffer progressive build 2	intermediate reveal subsumed by final grid on page 043
043	slides-images/slide-043.jpg	required	Cloud Buffer complete machine grid	final fully revealed warm-capacity allocation state retained in the note
044	slides-images/slide-044.jpg	required	Cloud Buffer control architecture	independent control-loop diagram and queueing model retained in the note
045	slides-images/slide-045.jpg	required	Lazy eager and content-addressed container cache	independent container-filesystem mechanism retained in the note
046	slides-images/slide-046.jpg	required	Application checkpoint and restore	independent process and GPU-state restoration mechanism retained in the note
047	slides-images/slide-047.jpg	optional	Debugging and observability section divider	pure section divider
048	slides-images/slide-048.jpg	required	Application model-quality and performance bugs	independent production failure taxonomy retained in the note
049	slides-images/slide-049.jpg	required	Observability from logs	independent logging strategy retained in the note
050	slides-images/slide-050.jpg	required	Evals as observability	independent correctness-system argument retained in the note
051	slides-images/slide-051.jpg	required	Inference metrics to log	independent production metric checklist retained in the note
052	slides-images/slide-052.jpg	required	Endpoint dashboard	independent observability surface retained in the note
053	slides-images/slide-053.jpg	optional	Performance optimization section divider	pure section divider
054	slides-images/slide-054.jpg	required	Optimization priority order	independent big-medium-small optimization hierarchy retained in the note
055	slides-images/slide-055.jpg	required	Speculative decoding pipeline	independent drafter-and-verifier mechanism retained in the note
056	slides-images/slide-056.jpg	required	Speculation throughput scaling demo	independent empirical demonstration retained in the note
057	slides-images/slide-057.jpg	required	N-gram MTP EAGLE and DFlash	independent speculative-method taxonomy retained in the note
058	slides-images/slide-058.jpg	required	Quantization full-stack coordination	independent hardware-kernel-quality tradeoff retained in the note
059	slides-images/slide-059.jpg	required	Host overhead timeline	independent GPU starvation trace retained in the note
060	slides-images/slide-060.jpg	required	CUDA Graph capture	independent launch-overhead mechanism retained in the note
061	slides-images/slide-061.jpg	required	GPU utilization and temperature	independent low-power straggler diagnostic retained in the note
062	slides-images/slide-062.jpg	required	Nsight Systems and Torch Profiler	independent timeline-level straggler diagnostic retained in the note
063	slides-images/slide-063.jpg	required	py-spy host flame graph	independent host profiling evidence retained in the note
064	slides-images/slide-064.jpg	required	Python dictionary host optimization	independent greater-than-ten-percent case study retained in the note
