file	source_timestamp	lecture_interval	purpose
figures/gsm8k-contributions.jpg	00:03:10	00:02:10--00:04:26	GSM8K 与 verifier 贡献
figures/generator-verifier-pipeline.jpg	00:04:50	00:04:26--00:06:20	generator-verifier 数据流程
figures/verifier-objective.jpg	00:06:50	00:06:20--00:08:16	verifier 联合目标
figures/testtime-compute.jpg	00:18:20	00:16:50--00:19:04	候选数与性能
figures/outcome-supervision.jpg	00:23:00	00:22:20--00:24:00	outcome supervision
figures/process-supervision.jpg	00:26:00	00:24:00--00:26:02	process supervision
figures/prm-labeling.jpg	00:28:20	00:26:02--00:29:08	PRM800K 人工步骤标注
figures/prm-vs-orm.jpg	00:29:50	00:29:08--00:30:44	PRM 与 ORM 结果
figures/active-learning.jpg	00:30:50	00:30:44--00:33:02	active learning
figures/prm-ood.jpg	00:34:00	00:33:02--00:35:20	PRM OOD 泛化
figures/math-shepherd-annotation.jpg	00:39:20	00:38:30--00:40:42	rollout 自动步骤标注
figures/step-label-example.jpg	00:41:20	00:40:42--00:43:36	步骤标签示例
figures/math-shepherd-uses.jpg	00:43:50	00:43:36--00:44:36	verification 与 RL
figures/math-shepherd-verification.jpg	00:46:20	00:44:36--00:47:02	verification 结果
figures/math-shepherd-rl.jpg	00:47:10	00:47:02--00:48:06	PPO 结果
figures/weak-verifiers.jpg	00:53:20	00:51:50--00:54:26	弱 verifier 类型
figures/weaver-pipeline.jpg	00:56:50	00:54:26--00:57:10	Weaver pipeline
figures/weak-supervision.jpg	00:58:00	00:57:10--00:59:36	弱监督建模
figures/weaver-vs-naive.jpg	00:59:50	00:59:36--01:00:18	Weaver 与 naive ensemble
figures/scaling-verification.jpg	01:00:20	01:00:18--01:02:12	verification compute scaling
figures/model-class-gap.jpg	01:04:00	01:02:12--01:04:32	缩小模型类别差距
figures/weaver-distillation.jpg	01:05:40	01:04:32--01:06:08	Weaver distillation
figures/accuracy-compute.jpg	01:06:20	01:06:08--01:06:44	accuracy-compute frontier
