file	source_timestamp	lecture_interval	purpose
figures/scaling-laws.jpg	00:03:40	00:02:50--00:03:53	预训练 scaling laws 三个轴
figures/model-growth.jpg	00:04:30	00:03:55--00:04:46	大模型参数规模的历史增长
figures/zero-few-shot.jpg	00:06:10	00:05:40--00:06:38	zero-shot 与 few-shot 对比
figures/chain-of-thought.jpg	00:08:40	00:07:18--00:09:01	标准提示与思维链提示
figures/cot-emergence.jpg	00:09:20	00:09:01--00:10:18	思维链能力随模型规模涌现
figures/alignment.jpg	00:14:00	00:12:41--00:14:07	从预训练分布到人类偏好对齐
figures/rlhf.jpg	00:18:30	00:16:54--00:19:05	RLHF 的偏好与奖励模型
figures/language-monkeys.jpg	00:21:10	00:20:03--00:22:43	Large Language Monkeys 生成与验证框架
figures/repeated-sampling-results.jpg	00:26:00	00:23:49--00:27:12	重复采样扩大 coverage 的实验结果
figures/o1-scaling.jpg	00:31:10	00:29:40--00:32:07	训练计算与测试时计算的共同扩展
figures/reasoning-models.jpg	00:32:40	00:32:08--00:33:55	reasoning model 的核心机制
figures/agent-loop.jpg	00:43:20	00:42:20--00:43:53	目标、行动、环境反馈闭环
figures/agentic-workflows.jpg	00:44:10	00:43:53--00:44:31	预定义 agentic workflow 示例
figures/workflow-patterns.jpg	00:45:20	00:44:32--00:49:00	workflow 组件与常见模式
figures/coding-agents.jpg	00:54:20	00:52:44--00:54:34	编码代理的工作空间与重复任务
figures/customer-support-agents.jpg	00:54:40	00:54:34--00:55:43	客服代理的工具与业务动作
figures/research-agents.jpg	00:57:20	00:56:00--00:59:03	科研代理的端到端工作流
