page	source	status	title	rationale
001	slides-images/slide-001.jpg	optional	Advancing science and medicine with collaborative AI agents	title card represented by the note cover and source metadata
002	slides-images/slide-002.jpg	required	Accelerate the clock speed of scientific discovery	independent mission statement retained in the note
003	slides-images/slide-003.jpg	required	Path from Med-PaLM to AI co-scientist	independent historical and capability transition retained in the note
004	slides-images/slide-004.jpg	required	Task versus timescale with AlphaFold	first independent state of the task-timescale argument retained in the note
005	slides-images/slide-005.jpg	required	Task versus timescale with general-purpose LLMs	final independent state comparing specialized and general systems retained in the note
006	slides-images/slide-006.jpg	required	Scientific superintelligence as a multi-agent collaboration	independent system-level vision retained in the note
007	slides-images/slide-007.jpg	required	AI co-scientist multi-agent system design	central architecture diagram retained in the note
008	slides-images/slide-008.jpg	required	AMR mechanistic breakthrough recapitulation pipeline	independent validation timeline retained in the note
009	slides-images/slide-009.jpg	required	Breakthroughs underway with human-AI collaboration	independent case-study roadmap retained in the note
010	slides-images/slide-010.jpg	optional	Press coverage of the AMR recapitulation	media evidence is contextual rather than scientific validation
011	slides-images/slide-011.jpg	required	KIRA6 repurposing hypothesis for acute myeloid leukemia	independent drug-repurposing result and negative-result caveat retained in the note
012	slides-images/slide-012.jpg	required	Vorinostat for liver fibrosis in human hepatic organoids	independent target-discovery and organoid result retained in the note
013	slides-images/slide-013.jpg	required	Structural Novelty Index and an NRC7 11-mer plant resistosome	independent AlphaFold-plus-experiment discovery retained in the note
014	slides-images/slide-014.jpg	required	AlphaFold-assisted OCT4 Yamanaka-factor design	independent tool-in-the-loop demonstration retained in the note
015	slides-images/slide-015.jpg	required	Early rejuvenation-factor results	independent classroom result retained only with the explicit unpublished and peer-review boundary
016	slides-images/slide-016.jpg	required	AI co-scientist and Alzheimer's case-study boundary	independent case introduction and unpublished-data disclaimer retained in the note
017	slides-images/slide-017.jpg	required	ACE inhibitor, bradykinin, and B2R recapitulation problem	independent mechanistic chain retained in the note
018	slides-images/slide-018.jpg	required	Prospective validation of the B2R node	independent prediction-experiment-validation workflow retained with the classroom-only evidence boundary
019	slides-images/slide-019.jpg	required	AI co-scientist versus base-LLM mechanism benchmark	independent comparison table retained in the note
020	slides-images/slide-020.jpg	required	Inverse-comorbidity case study	independent second unpublished case introduction retained in the note
021	slides-images/slide-021.jpg	required	Research question connecting SCLC and neurodegeneration	independent problem formulation retained in the note
022	slides-images/slide-022.jpg	required	Cross-domain SCLC and neurogenesis hypotheses	independent hypothesis portfolio retained in the note
023	slides-images/slide-023.jpg	required	Dr. Bellegia's validation	independent external-expert follow-up retained with its informal-validation boundary
024	slides-images/slide-024.jpg	required	Detailed candidate-idea report	independent long-form report example retained in the note
025	slides-images/slide-025.jpg	required	Unexpected connections and suggested research contacts	independent synthesis and human-handoff artifact retained in the note
026	slides-images/slide-026.jpg	optional	Make medical expertise universally accessible	transition card advertises the AMIE half described online, but the recording ends before that material is taught
