file	source_timestamp	lecture_interval	purpose
figures/aime.jpg	00:02:30	00:01:16--00:03:28	AIME benchmark
figures/train-test-scaling.jpg	00:06:50	00:05:48--00:07:20	train/test scaling
figures/star-bootstrapping.jpg	00:18:10	00:17:30--00:18:42	STaR bootstrapping
figures/rationalization.jpg	00:18:50	00:18:42--00:20:00	rationalization
figures/star-contributions.jpg	00:20:00	00:20:00--00:22:42	STaR loop
figures/star-assumptions.jpg	00:22:50	00:22:42--00:24:50	STaR assumptions
figures/star-method.jpg	00:26:30	00:24:50--00:27:28	STaR method
figures/star-results.jpg	00:29:50	00:27:28--00:31:22	STaR results
figures/rationalization-challenge.jpg	00:32:30	00:31:22--00:33:34	rationalization gap
figures/deepseekmath.jpg	00:41:40	00:41:10--00:42:06	DeepSeekMath
figures/math-data.jpg	00:42:10	00:42:06--00:43:34	math data
figures/data-results.jpg	00:43:40	00:43:34--00:44:24	data results
figures/ppo-memory.jpg	00:44:30	00:44:24--00:45:12	PPO memory
figures/grpo.jpg	00:45:20	00:45:12--00:46:02	GRPO
figures/grpo-gradient.jpg	00:47:30	00:46:02--00:52:46	GRPO gradient
figures/online-rl.jpg	00:53:00	00:52:46--00:53:34	online RL
figures/dapo-problems.jpg	00:53:40	00:53:34--00:54:24	DAPO problems
figures/clip-higher.jpg	00:54:30	00:54:24--00:55:46	Clip-Higher
figures/dynamic-sampling.jpg	00:56:00	00:55:46--00:57:46	dynamic sampling
figures/token-loss.jpg	00:58:10	00:57:46--00:58:48	token loss
figures/overlong.jpg	00:59:00	00:58:48--00:59:42	overlong punishment
figures/dapo-results.jpg	01:00:10	00:59:42--01:00:42	DAPO results
figures/rl-monitoring.jpg	01:01:00	01:00:42--01:02:26	RL monitoring
figures/method-selection.jpg	01:02:40	01:02:26--01:03:34	method selection
figures/metrics.jpg	01:03:40	01:03:34--01:06:20	pass/majority metrics
figures/open-problems.jpg	01:07:50	01:06:20--01:10:46	open problems
